Chimp,Sex,Community
BAS,F,kasekela
FAD,F,kasekela
TAB,F,kasekela
DIA,F,kasekela
KEA,F,kasekela
CHE,F,kasekela
SAM,F,kasekela
EOW,F,kasekela
OBE,F,kasekela
GLI,F,kasekela
GLD,F,kasekela
RUM,F,kasekela
MKW,F,kasekela
GA,F,kasekela
EZA,F,kasekela
IMA,F,kasekela
SI,F,kasekela
NUR,F,kasekela
TG,F,kasekela
NAS,F,kasekela
VAN,F,kasekela
BAH,F,kasekela
DL,F,kasekela
TT,F,kasekela
FN,F,kasekela
SIF,F,kasekela
TZ,F,kasekela
JF,F,kasekela
SA,F,kasekela
GM,F,kasekela
SW,F,kasekela
MGEN,F,kasekela
NYO,M,kasekela
FFT,M,kasekela
GIZ,M,kasekela
GGL,M,kasekela
IPO,M,kasekela
SIR,M,kasekela
GIM,M,kasekela
KAZ,M,kasekela
TOM,M,kasekela
FND,M,kasekela
FU,M,kasekela
SN,M,kasekela
TN,M,kasekela
ZS,M,kasekela
FE,M,kasekela
FO,M,kasekela
SL,M,kasekela
PX,M,kasekela
FAL,F,mitumba
MIS,F,mitumba
MAY,F,mitumba
LOS,F,mitumba
FLW,F,mitumba
WEN,F,mitumba
EDE,F,mitumba
FLI,F,mitumba
YAM,F,mitumba
BIM,F,mitumba
MGA,F,mitumba
FS,F,mitumba
KON,F,mitumba
DB,F,mitumba
AP,F,mitumba
MGEN,F,mitumba
KOM,M,mitumba
ARI,M,mitumba
LAM,M,mitumba
FAN,M,mitumba
KOC,M,mitumba
LON,M,mitumba
APL,M,mitumba
EDG,M,mitumba
