"_id","_form_id","_locale","_savepoint_type","_savepoint_timestamp","_savepoint_creator","Type_id","House_id","Name","Price_8oz","Price_12oz","Price_16oz","Hot","Cold","Loose_Leaf","Bags","_row_etag","_filter_type","_filter_value"
"483b4d02-a674-4b4b-948a-7b3d3175a99d","","","COMPLETE","2014-02-19T16:02:18.017000000","","1","t1","Tientai's Best",".90","1.00","1.10","Yes","Yes","No","Yes","","",""
"cb483139-bcb8-434d-837e-1d618076267a","","","COMPLETE","2014-02-19T16:02:18.019000000","","1","t1","Hangzhou's Own","1.50","2.00","2.50","Yes","Yes","Yes","Yes","","",""
"520dcdd5-c4ed-44ba-83c1-5431bcb958ff","","","COMPLETE","2014-02-19T16:02:18.022000000","","5","t10","Reddy or Not","1.00","2.00","3.00","Yes","No","No","Yes","","",""
"416e8d42-bb30-4c91-9264-3e09152c7b95","","","COMPLETE","2014-02-19T16:02:18.024000000","","5","t11","Leaf it Be","1.00","1.00","1.00","Yes","No","No","Yes","","",""
"e63393b5-f1e6-4272-b9b2-8e0a6adf1c46","","","COMPLETE","2014-02-19T16:02:18.026000000","","5","t11","Oxidon't Do It","3.00","5.00","7.00","Yes","No","Yes","No","","",""
"62658096-2cf8-4705-b84f-bfd2535e38f0","","","COMPLETE","2014-02-19T16:02:18.028000000","","6","t11","Allo, Guvnah",".50",".75","1.00","Yes","No","No","Yes","","",""
"3dd89313-6949-4dc6-afad-f4271caa81f4","","","COMPLETE","2014-02-19T16:02:18.030000000","","6","t12","Picard's Own","2.50","3.00","3.50","Yes","No","Yes","No","","",""
"89b91051-0b89-45dc-a4b2-b2f4d4a30c0a","","","COMPLETE","2014-02-19T16:02:18.031000000","","6","t12","Gandalf's Cloak","2.00","2.25","2.50","Yes","No","No","Yes","","",""
"a67b9e02-6c3e-42a3-a1bf-1117092b2593","","","COMPLETE","2014-02-19T16:02:18.033000000","","6","t12","Earl Good","2.75","3.00","3.25","Yes","No","No","Yes","","",""
"a8d63db2-5188-4ee9-9b1c-239821c7ddf0","","","COMPLETE","2014-02-19T16:02:18.035000000","","7","t13","Chamomile",".50","1.00","1.25","Yes","No","No","Yes","","",""
"86595f87-6be2-43c8-881c-1b8254783502","","","COMPLETE","2014-02-19T16:02:18.037000000","","1","t14","OoYum","2.75","3.00","3.25","Yes","Yes","Yes","No","","",""
"e3d0f16f-b804-4a15-980b-97b525d2c07f","","","COMPLETE","2014-02-19T16:02:18.039000000","","7","t15","ChamoSmile","1.00","2.00","3.00","Yes","No","Yes","Yes","","",""
"467f1f74-c38d-42b8-8bf8-1eac13647fb5","","","COMPLETE","2014-02-19T16:02:18.043000000","","7","t15","Licorice","2.00","2.00","2.00","Yes","Yes","No","Yes","","",""
"61f8c461-efa3-46b2-bad4-3022fdcc5895","","","COMPLETE","2014-02-19T16:02:18.045000000","","2","t16","Guhn POW Duh","3.00","3.10","3.20","Yes","Yes","Yes","No","","",""
"4b6eda20-1e39-43a4-8ab1-46a4d9070e47","","","COMPLETE","2014-02-19T16:02:18.048000000","","1","t16","Brrrrrlong","2.05","2.06","2.07","No","Yes","Yes","Yes","","",""
"c6169494-4750-43a1-8ef9-bdc4ba4ec7c5","","","COMPLETE","2014-02-19T16:02:18.049000000","","6","t17","Girl Grey","2.00","3.00","4.00","Yes","No","No","Yes","","",""
"046d38d2-642c-4e3a-a897-d3d73840f384","","","COMPLETE","2014-02-19T16:02:18.051000000","","6","t17","Manborg Locutus","5.00","6.00","7.00","No","Yes","Yes","No","","",""
"c828bf27-1cc2-457d-8043-f8529b67a9b0","","","COMPLETE","2014-02-19T16:02:18.053000000","","2","t17","Grasshopper",".25",".50",".75","Yes","Yes","No","Yes","","",""
"f4f911ce-cc5e-46f8-88db-1e44c39ccf1e","","","COMPLETE","2014-02-19T16:02:18.056000000","","4","t17","Cannon",".85","1.00","1.15","Yes","No","Yes","No","","",""
"5dc6b9d2-bd27-4473-b374-d3519a1965cb","","","COMPLETE","2014-02-19T16:02:18.058000000","","1","t2","Ching Shih","1.40","1.80","2.20","No","Yes","No","Yes","","",""
"39c67572-dcdc-4509-b02d-6985156c14ed","","","COMPLETE","2014-02-19T16:02:18.059000000","","1","t2","Pirate Junks","3.30","3.60","3.90","Yes","No","Yes","No","","",""
