_sync_tag,,,,
"{""schemaETag"":null,""propertiesETag"":null,""dataETag"":null}",,,,
,,,,
_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
House_id,House_id,none,TRUE,[]
Name,Name,none,TRUE,[]
Type_id,Type_id,none,TRUE,[]
Loose_Leaf,Loose_Leaf,none,TRUE,[]
Price_8oz,Price_8oz,none,TRUE,[]
Cold,Cold,none,TRUE,[]
Hot,Hot,none,TRUE,[]
Bags,Bags,none,TRUE,[]
Price_16oz,Price_16oz,none,TRUE,[]
Price_12oz,Price_12oz,none,TRUE,[]
,,,,
_partition,_aspect,_key,_type,_value
Column,Bags,displayChoicesList,json,[]
Column,Bags,displayFormat,string,
Column,Bags,displayName,json,"""Bags"""
Column,Bags,displayVisible,boolean,TRUE
Column,Bags,joins,json,
Column,Cold,displayChoicesList,json,[]
Column,Cold,displayFormat,string,
Column,Cold,displayName,json,"""Cold"""
Column,Cold,displayVisible,boolean,TRUE
Column,Cold,joins,json,
Column,Hot,displayChoicesList,json,[]
Column,Hot,displayFormat,string,
Column,Hot,displayName,json,"""Hot"""
Column,Hot,displayVisible,boolean,TRUE
Column,Hot,joins,json,
Column,House_id,displayChoicesList,json,[]
Column,House_id,displayFormat,string,
Column,House_id,displayName,json,"""House_id"""
Column,House_id,displayVisible,boolean,TRUE
Column,House_id,joins,json,
Column,Loose_Leaf,displayChoicesList,json,[]
Column,Loose_Leaf,displayFormat,string,
Column,Loose_Leaf,displayName,json,"""Loose_Leaf"""
Column,Loose_Leaf,displayVisible,boolean,TRUE
Column,Loose_Leaf,joins,json,
Column,Name,displayChoicesList,json,[]
Column,Name,displayFormat,string,
Column,Name,displayName,json,"""Name"""
Column,Name,displayVisible,boolean,TRUE
Column,Name,joins,json,
Column,Price_12oz,displayChoicesList,json,[]
Column,Price_12oz,displayFormat,string,
Column,Price_12oz,displayName,json,"""Price_12oz"""
Column,Price_12oz,displayVisible,boolean,TRUE
Column,Price_12oz,joins,json,
Column,Price_16oz,displayChoicesList,json,[]
Column,Price_16oz,displayFormat,string,
Column,Price_16oz,displayName,json,"""Price_16oz"""
Column,Price_16oz,displayVisible,boolean,TRUE
Column,Price_16oz,joins,json,
Column,Price_8oz,displayChoicesList,json,[]
Column,Price_8oz,displayFormat,string,
Column,Price_8oz,displayName,json,"""Price_8oz"""
Column,Price_8oz,displayVisible,boolean,TRUE
Column,Price_8oz,joins,json,
Column,Type_id,displayChoicesList,json,[]
Column,Type_id,displayFormat,string,
Column,Type_id,displayName,json,"""Type_id"""
Column,Type_id,displayVisible,boolean,TRUE
Column,Type_id,joins,json,
DetailDisplayActivity,default,filename,string,tables/Tea_inventory/html/Tea_inventory_detail.html
ListDisplayActivity,default,nameOfListView,string,List View 0
ListDisplayActivity.views,List View 0,filename,string,tables/Tea_inventory/html/Tea_inventory_list.html
Table,default,colOrder,string,"[""Type_id"",""House_id"",""Name"",""Price_8oz"",""Price_12oz"",""Price_16oz"",""Hot"",""Cold"",""Loose_Leaf"",""Bags""]"
Table,default,defaultViewType,string,List
Table,default,displayName,json,"""Tea inventory"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,
Table,default,primeCols,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
