_sync_tag,,,,
"{""schemaETag"":null,""propertiesETag"":null,""dataETag"":null}",,,,
,,,,
_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
water,water,string,TRUE,[]
location,location,geopoint,FALSE,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_latitude,latitude,number,TRUE,[]
location_accuracy,accuracy,number,TRUE,[]
location_altitude,altitude,number,TRUE,[]
location_longitude,longitude,number,TRUE,[]
num_rooms,num_rooms,integer,TRUE,[]
household_id,household_id,string,TRUE,[]
owner,owner,string,TRUE,[]
youngest,youngest,array,TRUE,"[""youngest_items""]"
youngest_items,items,string,FALSE,[]
electricity,electricity,string,TRUE,[]
,,,,
_partition,_aspect,_key,_type,_value
Column,electricity,displayChoicesList,json,
Column,electricity,displayFormat,string,
Column,electricity,displayName,json,"""electricity"""
Column,electricity,displayVisible,boolean,TRUE
Column,electricity,joins,json,
Column,household_id,displayChoicesList,json,
Column,household_id,displayFormat,string,
Column,household_id,displayName,json,"""household_id"""
Column,household_id,displayVisible,boolean,TRUE
Column,household_id,joins,json,
Column,location,displayChoicesList,json,
Column,location,displayFormat,string,
Column,location,displayName,json,"""location"""
Column,location,displayVisible,boolean,TRUE
Column,location,joins,json,
Column,location_accuracy,displayChoicesList,json,
Column,location_accuracy,displayFormat,string,
Column,location_accuracy,displayName,json,"""accuracy"""
Column,location_accuracy,displayVisible,boolean,TRUE
Column,location_accuracy,joins,json,
Column,location_altitude,displayChoicesList,json,
Column,location_altitude,displayFormat,string,
Column,location_altitude,displayName,json,"""altitude"""
Column,location_altitude,displayVisible,boolean,TRUE
Column,location_altitude,joins,json,
Column,location_latitude,displayChoicesList,json,
Column,location_latitude,displayFormat,string,
Column,location_latitude,displayName,json,"""latitude"""
Column,location_latitude,displayVisible,boolean,TRUE
Column,location_latitude,joins,json,
Column,location_longitude,displayChoicesList,json,
Column,location_longitude,displayFormat,string,
Column,location_longitude,displayName,json,"""longitude"""
Column,location_longitude,displayVisible,boolean,TRUE
Column,location_longitude,joins,json,
Column,num_rooms,displayChoicesList,json,
Column,num_rooms,displayFormat,string,
Column,num_rooms,displayName,json,"""num_rooms"""
Column,num_rooms,displayVisible,boolean,TRUE
Column,num_rooms,joins,json,
Column,owner,displayChoicesList,json,
Column,owner,displayFormat,string,
Column,owner,displayName,json,"""owner"""
Column,owner,displayVisible,boolean,TRUE
Column,owner,joins,json,
Column,water,displayChoicesList,json,
Column,water,displayFormat,string,
Column,water,displayName,json,"""water"""
Column,water,displayVisible,boolean,TRUE
Column,water,joins,json,
Column,youngest,displayChoicesList,json,
Column,youngest,displayFormat,string,
Column,youngest,displayName,json,"""youngest"""
Column,youngest,displayVisible,boolean,TRUE
Column,youngest,joins,json,
Column,youngest_items,displayChoicesList,json,
Column,youngest_items,displayFormat,string,
Column,youngest_items,displayName,json,"""items"""
Column,youngest_items,displayVisible,boolean,TRUE
Column,youngest_items,joins,json,
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,household_new
Table,default,colOrder,json,"[""household_id"",""num_rooms"",""electricity"",""water"",""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy"",""owner"",""youngest""]"
Table,default,defaultViewType,string,Spreadsheet
Table,default,displayName,json,"""Household Survey"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,
Table,default,sortCol,string,
Table,default,sortOrder,string,
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""rest"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateRest"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""inserting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInserting"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""updating"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateUpdating"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""conflicting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateConflicting"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleting"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleting"",""mForeground"":-16777216,""mBackground"":-12303292}]"
