_sync_tag,,,,
"{""schemaETag"":null,""propertiesETag"":null,""dataETag"":null}",,,,
,,,,
_element_key,_element_name,_element_type,_is_unit_of_retention,_list_child_element_keys
school_type,school_type,array,TRUE,"[""school_type_items""]"
school_type_items,items,string,FALSE,[]
water,water,string,TRUE,[]
sex,sex,string,TRUE,[]
location,location,geopoint,FALSE,"[""location_latitude"",""location_longitude"",""location_altitude"",""location_accuracy""]"
location_latitude,latitude,number,TRUE,[]
location_longitude,longitude,number,TRUE,[]
location_altitude,altitude,number,TRUE,[]
location_accuracy,accuracy,number,TRUE,[]
num_rooms,num_rooms,integer,TRUE,[]
write_language,write_language,string,TRUE,[]
attend_school,attend_school,string,TRUE,[]
post_secondary,post_secondary,string,TRUE,[]
income_contribution,income_contribution,string,TRUE,[]
currently_school,currently_school,string,TRUE,[]
household_id,household_id,string,TRUE,[]
age,age,integer,TRUE,[]
name,name,string,TRUE,[]
owner,owner,string,TRUE,[]
youngest,youngest,array,TRUE,"[""youngest_items""]"
youngest_items,items,string,FALSE,[]
electricity,electricity,string,TRUE,[]
grade_level,grade_level,string,TRUE,[]
,,,,
_partition,_aspect,_key,_type,_value
Column,age,displayChoicesList,json,
Column,age,displayFormat,string,
Column,age,displayName,json,"""age"""
Column,age,displayVisible,boolean,TRUE
Column,age,joins,json,
Column,attend_school,displayChoicesList,json,
Column,attend_school,displayFormat,string,
Column,attend_school,displayName,json,"""attend_school"""
Column,attend_school,displayVisible,boolean,TRUE
Column,attend_school,joins,json,
Column,currently_school,displayChoicesList,json,
Column,currently_school,displayFormat,string,
Column,currently_school,displayName,json,"""currently_school"""
Column,currently_school,displayVisible,boolean,TRUE
Column,currently_school,joins,json,
Column,electricity,displayChoicesList,json,
Column,electricity,displayFormat,string,
Column,electricity,displayName,json,"""electricity"""
Column,electricity,displayVisible,boolean,TRUE
Column,electricity,joins,json,
Column,grade_level,displayChoicesList,json,
Column,grade_level,displayFormat,string,
Column,grade_level,displayName,json,"""grade_level"""
Column,grade_level,displayVisible,boolean,TRUE
Column,grade_level,joins,json,
Column,household_id,displayChoicesList,json,
Column,household_id,displayFormat,string,
Column,household_id,displayName,json,"""household_id"""
Column,household_id,displayVisible,boolean,TRUE
Column,household_id,joins,json,
Column,income_contribution,displayChoicesList,json,
Column,income_contribution,displayFormat,string,
Column,income_contribution,displayName,json,"""income_contribution"""
Column,income_contribution,displayVisible,boolean,TRUE
Column,income_contribution,joins,json,
Column,location,displayChoicesList,json,
Column,location,displayFormat,string,
Column,location,displayName,json,"""location"""
Column,location,displayVisible,boolean,TRUE
Column,location,joins,json,
Column,location_accuracy,displayChoicesList,json,
