_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,Customers,Date_Opened,District,Hot,Iced,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,Name,Neighborhood,Store_Owner,Phone_Number,Region,Specialty_Type_id,State,Visits,WiFi,_row_etag,_default_access,_owner,_group_read_only,_group_modify,_group_privileged
t3,,default,COMPLETE,2014-02-19T16:01:59.016000000,anonymous,1907,2009-07-13T00:00:00.000000000,Magdalene,No,Yes,,,10.20976,1.47962,Tibbins House on Kingsley,Capitol Hill,Colonel Toppington,5550981,Cascadia,a1,Washington,10987,Yes,,,,,,
t2,,default,COMPLETE,2014-02-19T16:01:59.017000000,anonymous,176,2010-06-28T00:00:00.000000000,Magdalene,Yes,Yes,,,10.304162,1.37962,Tea for All,Capitol Hill,Miss Tealicious,5558778,Cascadia,a1,Washington,2762,Yes,,,,,,
t4,,default,COMPLETE,2014-02-19T16:01:59.019000000,anonymous,887,2010-06-28T00:00:00.000000000,Magdalene,Yes,Yes,,,10.26794,0.95949,Green with Tea-envy,First Hill,David Serra,5558719,Cascadia,a2,Washington,2710,Yes,,,,,,
t5,,default,COMPLETE,2014-02-19T16:01:59.022000000,anonymous,892,2010-06-28T00:00:00.000000000,Magdalene,Yes,Yes,,,10.177112,1.106208,Read the Leaves,First Hill,Wendy Florent,5558171,Cascadia,a2,Washington,9876,No,,,,,,
t6,,default,COMPLETE,2014-02-19T16:01:59.023000000,anonymous,123,2010-06-28T00:00:00.000000000,St John's,No,Yes,,,10.35259,1.10885,Trinity's Spies,University,Brandon Stark,5553342,Cascadia,a3,Washington,8196,Yes,,,,,,
t7,,default,COMPLETE,2014-02-19T16:01:59.025000000,anonymous,198,2010-06-28T00:00:00.000000000,St John's,Yes,Yes,,,10.177112,1.106208,The Bridge of Sighs,University,Takeshi Kovacs,5554113,Cascadia,a4,Washington,188,No,,,,,,
t8,,default,COMPLETE,2014-02-19T16:01:59.027000000,anonymous,768,2010-06-28T00:00:00.000000000,St John's,Yes,No,,,10.177112,1.106208,Kitchen Court,Fremont,Rick Deckard,5559109,Cascadia,a4,Washington,1719,No,,,,,,
t1,,default,COMPLETE,2014-02-19T16:01:59.029000000,anonymous,779,2010-06-29T00:00:00.000000000,St John's,No,Yes,,,10.502791,1.374374,The Buttery,Fremont,Madame Bemford,5551134,Cascadia,a1,Washington,8817,No,,,,,,
t9,,default,COMPLETE,2014-02-19T16:01:59.031000000,anonymous,153,2010-06-29T00:00:00.000000000,St John's,Yes,Yes,,,10.487957,1.510158,Whipplesnaith,Fremont,Willard Pewpew,5558171,Cascadia,a2,Washington,9873,Yes,,,,,,
t10,,default,COMPLETE,2014-02-19T16:01:59.033000000,anonymous,1139,2010-06-29T00:00:00.000000000,St John's,Yes,No,,,10.502791,1.374374,The Tower,University,Genevieve Twilly,5558189,Cascadia,a5,Washington,7866,Yes,,,,,,
t11,,default,COMPLETE,2014-02-19T16:01:59.035000000,anonymous,195,2010-06-28T00:00:00.000000000,Pembroke,Yes,Yes,,,10.11595,1.43991,Tea-rrible,Wallingford,Jaime Lancaster,5555678,Weste,a5,Washington,256,Yes,,,,,,
t12,,default,COMPLETE,2014-02-19T16:01:59.040000000,anonymous,56,2010-06-29T00:00:00.000000000,Pembroke,Yes,Yes,,,10.39157,1.572896,Make it So,Wallingford,Mrs Featherbottom,5551240,Weste,a6,Washington,77,Yes,,,,,,
t13,,default,COMPLETE,2014-02-19T16:01:59.042000000,anonymous,351,2010-06-29T00:00:00.000000000,Pembroke,Yes,Yes,,,10.30691,1.53396,Soothing Remedies,Greenlake,Tyrion Lannister,5551328,Weste,a7,Washington,508,No,,,,,,
t14,,default,COMPLETE,2014-02-19T16:01:59.044000000,anonymous,231,2010-06-29T00:00:00.000000000,Pembroke,Yes,No,,,10.304162,1.37962,Serving it Up,Wallingford,Jon Snow,5558108,Weste,a1,Washington,401,No,,,,,,
t15,,default,COMPLETE,2014-02-19T16:01:59.047000000,anonymous,176,2009-07-13T00:00:00.000000000,Pembroke,Yes,Yes,,,10.113404,1.344558,Kingston Tea,Greenlake,Charlotte Weber,5556146,Weste,a7,Washington,1689,Yes,,,,,,
t16,,default,COMPLETE,2014-02-19T16:01:59.049000000,anonymous,973,2010-06-29T00:00:00.000000000,Pembroke,Yes,Yes,,,10.30518702,1.38153076,Te Verde,Greenlake,Melody Trumpington,5554143,Weste,a2,Washington,6651,No,,,,,,
t17,,default,COMPLETE,2014-02-19T16:01:59.051000000,anonymous,144,2010-06-29T00:00:00.000000000,Pembroke,Yes,Yes,,,10.1738,1.11166,En-tea-rprising,Greenwood,Cher,5550017,Weste,a6,Washington,1987,Yes,,,,,,
