_id,groupModify,groupPrivileged,groupReadOnly,levelNumber,location_accuracy,location_altitude,location_latitude,location_longitude,regionLevel1,regionLevel2,regionLevel3,regionLevel4,regionLevel5,regionName
"1de78dd5-8fc1-460d-a496-ff94af29fa7c",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Zomba,,,"South/South East/Zomba"
"53f67667-be97-4d00-95de-1e0d7c875f8b",GROUP_REGION_SOUTH,GROUP_ADMIN,GROUP_REGION_SOUTH,1,0.0,0.0,0.0,0.0,South,,,,,South
"f34586ba-0627-4996-82b9-6471535237f3",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,2,0.0,0.0,0.0,0.0,South,"South East",,,,"South/South East"
"cf304cad-6aa2-45eb-add9-bc4cf0786980",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Nsanje,,,"South/South West/Nsanje"
"a4a1ef9c-a9a4-49bc-a89b-816d0156013c",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,2,0.0,0.0,0.0,0.0,South,"South West",,,,"South/South West"
"ba876130-d961-4e4a-90b9-33275bf4490d",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Chikwawa,,,"South/South West/Chikwawa"
"52808fbe-9a6f-4a87-aab6-9729dc320f87",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Thyolo,,,"South/South West/Thyolo"
"2e6e04a5-ef2e-4d31-9438-e5c58b2f22f1",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Mulanje,,,"South/South East/Mulanje"
"782a5fb2-3817-45b0-b5f3-5d0952b5ee16",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Chiladzulu,,,"South/South West/Chiladzulu"
"0b305951-f2c8-45be-be3f-c5864bde5271",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Blantyre,,,"South/South West/Blantyre"
"74951969-a7cb-451d-9d8a-b40fe6234e6d",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Phalombe,,,"South/South East/Phalombe"
"e605d927-2297-4f55-a050-97f5d3b7cfa1",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Mwanza,,,"South/South West/Mwanza"
"dacea803-8e6f-4f6b-8c79-3961dea0fba7",GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South West",Neno,,,"South/South West/Neno"
"7655c95b-c306-4889-97d0-0f21eeead888",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Balaka,,,"South/South East/Balaka"
"543dd442-d03b-4ec1-a1e0-ac7857ad26f3",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Machinga,,,"South/South East/Machinga"
"51bf6f93-48d2-4883-b8e1-5c7b1cca03ab","GROUP_REGION_CENTRAL_WEST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central West",Ntcheu,,,"Central/Central West/Ntcheu"
"a31c4f33-f3a7-4087-8e4f-213b5b674d07",GROUP_REGION_CENTRAL,GROUP_ADMIN,GROUP_REGION_CENTRAL,1,0.0,0.0,0.0,0.0,Central,,,,,Central
"e6146069-3f08-46c8-a91b-ba394ac88047","GROUP_REGION_CENTRAL_WEST",GROUP_ADMIN,GROUP_REGION_CENTRAL,2,0.0,0.0,0.0,0.0,Central,"Central West",,,,"Central/Central West"
"eb2aeea6-14d7-4a19-b46f-ed900949fa71",GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,3,0.0,0.0,0.0,0.0,South,"South East",Mangochi,,,"South/South East/Mangochi"
"f0b1e716-beb9-4597-80dd-dfc46ab84ea0","GROUP_REGION_CENTRAL_WEST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central West",Dedza,,,"Central/Central West/Dedza"
"c565b1ed-abcd-4664-8e73-eaa4fd80417f","GROUP_REGION_CENTRAL_WEST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central West",Lilongwe,,,"Central/Central West/Lilongwe"
"2f9f70b8-48aa-4d22-8a2b-6809c2269fcc","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central East",Salima,,,"Central/Central East/Salima"
"faa9015e-e5b0-421f-9ca6-a25e073d2e47","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,2,0.0,0.0,0.0,0.0,Central,"Central East",,,,"Central/Central East"
"c7e24107-2e1b-43e6-a207-e772256c5b00","GROUP_REGION_CENTRAL_WEST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central West",Mchinji,,,"Central/Central West/Mchinji"
"5ee54312-525b-41a1-bcea-1f350aa99a5c","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central East",Dowa,,,"Central/Central East/Dowa"
"1bc74b8b-9016-42b0-ac90-db5f4836bd47","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central East",Kasungu,,,"Central/Central East/Kasungu"
"b4ee728a-bfb8-45cc-b6e8-20bb29bf1714","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central East",Ntchisi,,,"Central/Central East/Ntchisi"
"1fd46cb5-9769-49fc-a22d-ca23e6a2edce","GROUP_REGION_CENTRAL_EAST",GROUP_ADMIN,GROUP_REGION_CENTRAL,3,0.0,0.0,0.0,0.0,Central,"Central East",Nkhotakota,,,"Central/Central East/Nkhotakota"
"0f1b0bcd-d6bf-4b89-9533-08936ca10584",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,"Mzimba South",,,"North/North/Mzimba South"
"ee8bab66-8f13-4abf-8762-817c431cc10b",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,1,0.0,0.0,0.0,0.0,North,,,,,North
"a8266789-b0da-4dc9-99ae-3947a81a2070",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,2,0.0,0.0,0.0,0.0,North,North,,,,North/North
"f9f0cb36-113f-44c8-b3ff-639429fed0e4",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,"Nkhata Bay",,,"North/North/Nkhata Bay"
"a21f7e84-62ae-4494-b520-a2f3aa50ff44",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,Likoma,,,North/North/Likoma
"a0767279-bc86-4070-9ef4-bf04a3059252",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,"Mzimba North",,,"North/North/Mzimba North"
"fda0db4d-993b-40f5-a15c-01f42de7cf14",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,Rumphi,,,North/North/Rumphi
"fac45636-ddbc-41d7-9508-5abbf61868a1",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,Karonga,,,North/North/Karonga
"236bedbf-8c83-48ea-9750-24d13f7bd349",GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,3,0.0,0.0,0.0,0.0,North,North,Chitipa,,,North/North/Chitipa

