Location_accuracy,Location_altitude,Location_latitude,Location_longitude,_default_access,_group_modify,_group_privileged,_group_read_only,_id,admin_region_id,catchment_population,contact_name,contact_phone_number,contact_title,distance_to_supply,electricity_source,facility_id,facility_name,facility_ownership,facility_type,fuel_availability,grid_power_availability,"immunization_services_offered",number_of_cold_boxes,number_of_fs_cold_boxes,"number_of_fs_vaccine_carriers","number_of_vaccine_carriers",vaccine_supply_interval,vaccine_supply_mode
0.0,0.0,-17.946217,35.451797,HIDDEN,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,H627,"b3c456f7-a4aa-4ee0-b287-e6233e68acb4",9218,"MARY PHAMOYO",,,33.0,none,1021-0024,Machinjiri,public,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-17.112194,35.15608,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H765,"78b373de-695a-4de1-aba4-ca26d589a82c",6000,"HOMESTONE MKANDA",,,46.0,none,1027-0006,"Nkhande Health Post",public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-17.093065,35.218224,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H763,"78b373de-695a-4de1-aba4-ca26d589a82c",19084,"DANIEL M.B. MURAPHI",,,27.0,grid,1027-0004,"Ndamera Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,2,both
0.0,0.0,-17.084826,35.113483,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H766,"78b373de-695a-4de1-aba4-ca26d589a82c",6437,"PATRICK SEDA",,,55.0,none,1027-0007,"Lulwe Health Centre",faithbased,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-17.044022,35.215775,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H764,"78b373de-695a-4de1-aba4-ca26d589a82c",7796,"ANDERSON DILIRO",,,12.0,none,1027-0005,"Kamphata Health Post",public,dispensary,,none,both,0,0,0,0,4,both
0.0,0.0,-16.996477,35.108463,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H767,"78b373de-695a-4de1-aba4-ca26d589a82c",6893,"AUSTINE THOMSON",,,69.0,none,1027-0008,"Chingoma Health Post",public,dispensary,,none,both,0,0,0,0,4,collected
0.0,0.0,-16.992283,35.21995,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H762,"78b373de-695a-4de1-aba4-ca26d589a82c",21309,"GEORGE KADULIRA",,,14.0,grid,1027-0003,"Mbenje Health Centre",public,community_hospital,,more_than_16,both,0,0,0,0,2,both
0.0,0.0,-16.914824,35.25902,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H760,"78b373de-695a-4de1-aba4-ca26d589a82c",35525,"STANLEY MZAYA",,,0.0,grid,1027-0001,"Nsanje District Hospital",public,central_hospital,,more_than_16,both,0,0,0,0,1,collected
0.0,0.0,-16.912271,35.17268,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H768,"78b373de-695a-4de1-aba4-ca26d589a82c",10585,"FADOWICK MADENGU",,,22.0,none,1027-0009,"Chididi Health Centre",faithbased,community_hospital,,none,both,0,0,0,0,4,delivered
0.0,0.0,-16.822212,35.303524,HIDDEN,GROUP_REGION_SOUTH_WEST,GROUP_ADMIN,GROUP_REGION_SOUTH,H769,"78b373de-695a-4de1-aba4-ca26d589a82c",9994,"AFACHI FREDSON",,,12.0,none,1027-0010,"Mkango Health Centre",public,dispensary,,none,both,0,0,0,0,4,both
