_conflict_type,_default_access,_form_id,_group_modify,_group_privileged,_group_read_only,_id,_locale,_row_etag,_row_owner,_savepoint_creator,_savepoint_timestamp,_savepoint_type,_sync_state,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,admin_region,climate_zone,contact_name,delivery_type,distance_to_supply,electricity_source,facility_coverage,facility_id,facility_name,facility_ownership,facility_population,facility_type,gas_availability,grid_power_availability,kerosene_availability,regionLevel1,regionLevel2,solar_suitable_climate,solar_suitable_site,storage_type,vaccine_reserve_stock_requirement,vaccine_supply_interval,vaccine_supply_mode
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H1,default,,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,,,-13.65531667,33.93647862,Dowa,temperate,M. NYANGULU,static,20.0,grid,10.0,1000-0000,Dowa Hospital,public,46303.0,central_hospital,unknown,more_than_16,unknown,Central,Central East,yes,yes,delivery,1.0,4.0,unknown
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H2,default,,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,,,-13.65531667,33.93647862,Dowa,temperate,MARTIN NYANGULU,none,50.0,grid,100.0,1000-0001,Dowa Dho Vaccine Store,public,641895.0,regional_vaccine_store,not_available,more_than_16,not_available,Central,Central East,no,yes,depot,1.0,4.0,collected
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H3,default,,,anonymous,2016-07-11T16:01:59.019000000,COMPLETE,new_row,,,-13.55307773,33.89731836,Dowa,temperate,LYFORD CHIPENI,both,17.0,none,100.0,1000-0002,Msakambewa,public,29845.0,community_hospital,not_available,none,available,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H4,default,,,anonymous,2016-07-11T16:01:59.022000000,COMPLETE,new_row,,,-13.51568416,33.83682211,Dowa,temperate,PATRICIA MSUKU,both,14.0,none,100.0,1000-0003,Chibanzi Health Post,public,10301.0,dispensary,not_available,none,unknown,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H5,default,,,anonymous,2016-07-11T16:01:59.023000000,COMPLETE,new_row,,,-13.44421,33.64692594,Dowa,temperate,ALICK KEFASI BANDA,both,59.0,none,100.0,1000-0004,Chakhaza,public,25491.0,community_hospital,not_available,none,unknown,Central,Central East,no,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H6,default,,,anonymous,2016-07-11T16:01:59.025000000,COMPLETE,new_row,,,-13.44421,33.64692594,Dowa,temperate,PETER DZIKAMBANI,both,56.0,grid,100.0,1000-0005,Bowe,public,29113.0,community_hospital,not_available,8_to_16,not_available,Central,Central East,no,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H7,default,,,anonymous,2016-07-11T16:01:59.027000000,COMPLETE,new_row,,,-13.38532768,33.72097513,Dowa,temperate,A.K. YOHANE,both,15.0,none,100.0,1000-0006,Chinkhwili,public,22828.0,community_hospital,not_available,none,available,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H8,default,,,anonymous,2016-07-11T16:01:59.029000000,COMPLETE,new_row,,,-13.40684652,33.6078577,Dowa,temperate,STEVEN KAYENDA,both,58.0,grid,10.0,1000-0007,Madisi,faithbased,41285.0,rural_hospital,not_available,more_than_16,not_available,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H9,default,,,anonymous,2016-07-11T16:01:59.031000000,COMPLETE,new_row,,,-13.33336383,33.57615929,Dowa,temperate,B.G. KAMUYAMBENI,both,64.0,grid,100.0,1000-0008,Kasese,private,24954.0,community_hospital,not_available,more_than_16,not_available,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
,HIDDEN,,GROUP_CENTRAL_EAST,GROUP_ADMIN,,H10,default,,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,,,-13.37104561,33.51586029,Dowa,temperate,EVANSON B.KAMWENDO,both,75.0,none,100.0,1000-0009,Kachigamba Health Post,public,8123.0,dispensary,not_available,none,available,Central,Central East,yes,yes,delivery,1.0,4.0,delivered
