_id,_form_id,facility_id,facility_name,admin_region,Location_accuracy,Location_altitude,Location_latitude,Location_longitude,facility_type,facility_ownership,facility_population,facility_coverage,storage_type,delivery_type,electricity_source,grid_power_availability,gas_availability,kerosene_availability,solar_suitable_climate,solar_suitable_site,climate_zone,vaccine_supply_interval,vaccine_reserve_stock_requirement,vaccine_supply_mode,distance_to_supply,contact_name,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
1,,1000-0000,Dowa Hospital,Dowa,,,-13.65531667,33.93647862,central_hospital,public,46303,10,delivery,static,grid,more_than_16,unknown,unknown,yes,yes,temperate,4,1,unknown,20,M. NYANGULU,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,,
2,,1000-0001,Dowa Dho Vaccine Store,Dowa,,,-13.65531667,33.93647862,regional_vaccine_store,public,641895,100,depot,none,grid,more_than_16,not_available,not_available,no,yes,temperate,4,1,collected,50,MARTIN NYANGULU,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,,
3,,1000-0002,Msakambewa,Dowa,,,-13.55307773,33.89731836,community_hospital,public,29845,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,17,LYFORD CHIPENI,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,,
4,,1000-0003,Chibanzi Health Post,Dowa,,,-13.51568416,33.83682211,dispensary,public,10301,100,delivery,both,none,none,not_available,unknown,yes,yes,temperate,4,1,delivered,14,PATRICIA MSUKU,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,,
5,,1000-0004,Chakhaza,Dowa,,,-13.44421,33.64692594,community_hospital,public,25491,100,delivery,both,none,none,not_available,unknown,no,yes,temperate,4,1,delivered,59,ALICK KEFASI BANDA,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
6,,1000-0005,Bowe,Dowa,,,-13.44421,33.64692594,community_hospital,public,29113,100,delivery,both,grid,8_to_16,not_available,not_available,no,yes,temperate,4,1,delivered,56,PETER DZIKAMBANI,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
7,,1000-0006,Chinkhwili,Dowa,,,-13.38532768,33.72097513,community_hospital,public,22828,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,15,A.K. YOHANE,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,,
8,,1000-0007,Madisi,Dowa,,,-13.40684652,33.6078577,rural_hospital,faithbased,41285,10,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,58,STEVEN KAYENDA,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
9,,1000-0008,Kasese,Dowa,,,-13.33336383,33.57615929,community_hospital,private,24954,100,delivery,both,grid,more_than_16,not_available,not_available,yes,yes,temperate,4,1,delivered,64,B.G. KAMUYAMBENI,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,,
10,,1000-0009,Kachigamba Health Post,Dowa,,,-13.37104561,33.51586029,dispensary,public,8123,100,delivery,both,none,none,not_available,available,yes,yes,temperate,4,1,delivered,75,EVANSON B.KAMWENDO,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
11,,1000-0010,Chizolowondo,Dowa,,,-13.46339802,33.51316572,community_hospital,public,21912,100,delivery,both,none,none,not_available,irregular,yes,yes,temperate,4,1,delivered,60,ULIYA C. HARACK,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
12,,1000-0011,Mondwe,Dowa,,,-13.49194938,33.4438448,dispensary,public,2226,100,delivery,both,none,none,not_available,unknown,no,yes,temperate,4,1,delivered,80,BENADETA CHIWAYA,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
13,,1000-0012,Mbingwa,Dowa,,,-13.54448316,33.51503031,community_hospital,public,19026,100,delivery,both,grid,8_to_16,not_available,not_available,yes,yes,temperate,4,1,delivered,68,NELSON CHIDOTHI,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
14,,1000-0013,Chisepo,Dowa,,,-13.63505534,33.47003469,community_hospital,public,25848,100,delivery,both,grid,8_to_16,not_available,not_available,yes,yes,temperate,4,1,delivered,93,FRADWELL KATEMA,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
15,,1000-0014,Kayembe,Dowa,,,-13.64257364,33.58311386,community_hospital,public,14533,100,delivery,both,grid,8_to_16,not_available,not_available,yes,yes,temperate,4,1,delivered,63,OBREY WILLIATI,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
16,,1000-0015,Nambuma Health Post,Dowa,,,-13.64251658,33.6069301,dispensary,public,16459,100,delivery,both,none,none,not_available,not_available,yes,yes,temperate,4,1,delivered,30,GIBSON KALUZA,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,,
