_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,as_of_date,description,location_accuracy,location_altitude,location_latitude,location_longitude,obj_name,photo_contentType,photo_uriFragment,price,quantity,scancode,type_of_store,_default_access,_owner,_group_read_only,_group_modify,_group_privileged,
56ff9690-6206-4cc8-8535-143724ee5884,,default,COMPLETE,2016-11-21T18:25:51.064000000,anonymous,2016-11-18T12:11:02.0.9625206,Pack more fun in this co-branded Disney and Americ...,,,47.70229941,-122.3187381,"American Tourister Star Wars Softside 18"" Upright - Star Wars Darth Vader",image/jpg,91f82dcfad5306ef7253ef95c4c3125a.jpg,37.99,42,,"[""large"",""chain_store"",""in_mall""]",FULL,,,,,
7c81bf55-fb33-4d46-957f-8b0fa5ae470e,,default,COMPLETE,2016-11-21T18:25:51.533000000,anonymous,2016-11-18T12:11:02.0.7818853,Solid joint pliers. High leverage rivet location f...,,,47.65563408,-122.3277995,Craftsman 9-45103 8-Inch Long Nose Pliers,image/jpg,977a3cecf1f47272dde497b28577c549.jpg,16.98,42,6.49E+11,"[""medium"",""single_site"",""in_mall""]",FULL,,,,,
5f22c4fb-3fdd-436f-b478-f960479c8123,,default,COMPLETE,2016-11-21T18:25:51.582000000,anonymous,2016-11-18T12:11:02.0.5651752,Natural Sleep and well being are evident in our 11...,,,47.68254145,-122.3971474,11 inch Gel Memory Foam Mattress - Cool Gel Infused - Triple-Layered - CertiPUR-US Certified - Medium Firm - 20-Year Warranty - Queen Size [Queen],image/jpg,c882e3e3faef45fa1c3f75be0654b302.jpg,389.99,44,6.09E+11,"[""medium"",""single_site"",""in_mall""]",FULL,,,,,
a6025068-0cfa-4fe5-9c38-806031d00a19,,default,COMPLETE,2016-11-21T18:25:51.616000000,anonymous,2016-11-18T12:11:02.0.7723423,100% Nylon. Machine Wash. Half slip featuring elas...,,,47.64359068,-122.3533631,Vanity Fair Women's Tricot Double Slit Half Slip 11717 [],image/jpg,5a249a768f97c5591f30c8839d7957b4.jpg,9.9,89,7.54E+11,"[""large"",""chain_store"",""street_front""]",FULL,,,,,
98c2376e-90a9-4268-8d9a-81d0c54fc901,,default,COMPLETE,2016-11-21T18:25:51.649000000,anonymous,2016-11-18T12:11:02.0.6109311,High Quality German Filters,,,47.63221748,-122.3714576,B+W 72mm Slim-Line Circular Polarizer with Multi-Resistant Coating [72 mm],image/jpg,7b69bbe76ec4f0225ed1d813ce3f38b0.jpg,218,22,12240264586,"[""small"",""single_site"",""street_front""]",FULL,,,,,
22f24a53-5a8e-41fc-80c3-0d968004184b,,default,COMPLETE,2016-11-21T18:25:51.682000000,anonymous,2016-11-18T12:11:02.0.0204578,This palette consists of 12 vibrant basic shades i...,,,47.6194167,-122.4038365,Coastal Scents Creative Me #1 Makeup Palette [CREATIVE ME PALETTE],image/jpg,98b7e559868be0fc2fc4465149aede3f.jpg,19.68,65,6.10E+11,"[""small"",""chain_store"",""street_front""]",FULL,,,,,
8c1552ca-5d22-4206-83ee-0696ea5d8de7,,default,COMPLETE,2016-11-21T18:25:51.714000000,anonymous,2016-11-18T12:11:02.0.4449471,Nine West offers a quick edit of the runways -- pi...,,,47.65865236,-122.2846328,Nine West Women's Gaget Dress Pump [],image/jpg,1b278da58ace038725d1351e7e9c7a49.jpg,112,90,7.40E+11,"[""medium"",""single_site"",""in_mall""]",FULL,,,,,
eb4d4b44-e1ef-42f8-9a2e-2b23bdf02af7,,default,COMPLETE,2016-11-21T18:25:51.816000000,anonymous,2016-11-18T12:11:02.0.1817502,In a busy day of work the last thing you need is d...,,,47.71569579,-122.3371179,Dunham by New Balance Men's REVchase Slip-On [],image/jpg,8b330b4776f3d86cb0e6bc75d929e0bf.jpg,144.94,63,8.87E+11,"[""medium"",""chain_store"",""in_mall""]",FULL,,,,,
559f40f3-b5e7-4650-8a3b-fd1eb52412a4,,default,COMPLETE,2016-11-21T18:25:51.853000000,anonymous,2016-11-18T12:11:02.0.0835712,Value Series Acrylic Paints like Liquitex BASICS a...,,,47.63725781,-122.319993,"Liquitex Professional Heavy Body Acrylic Paint 4.65-oz tube, Ultramarine Blue (Green Shade)",image/jpg,b69fff5838db35ee46a1d892bf3995c8.jpg,16.49,90,94376922776,"[""small"",""single_site"",""street_front""]",FULL,,,,,
5283289f-52cc-4ab2-8719-d0ab5f322f2a,,default,COMPLETE,2016-11-21T18:25:51.981000000,anonymous,2016-11-18T12:11:02.0.5520570,The Neumok is a six-eyelet balmoral with classic A...,,,47.5892441,-122.308531,Allen Edmonds Men's Neumok Lace-Up Wingtip Shoe [],image/jpg,407b6786458639aa6d2ad7683140cde7.jpg,274,23,8.87E+11,"[""large"",""single_site"",""in_mall""]",FULL,,,,,
