date_serviced,notes,refrigerator_id
2017-05-30T00:00:00.000000000,,R1
2017-04-02T00:00:00.000000000,Seems to be in good condition,R2
2017-02-21T00:00:00.000000000,,R4
2015-09-13T00:00:00.000000000,Faulty power supply was replaced,R5
2017-03-30T00:00:00.000000000,Faulty power supply was replaced,R6
2017-03-17T00:00:00.000000000,Faulty power supply was replaced,R7
2017-07-28T00:00:00.000000000,,R8
2017-02-18T00:00:00.000000000,Faulty power supply was replaced,R9
2017-06-08T00:00:00.000000000,,R11
2017-08-01T00:00:00.000000000,Seems to be in good condition,R12
2017-03-31T00:00:00.000000000,Seems to be in good condition,R13
2017-07-06T00:00:00.000000000,Faulty power supply was replaced,R14
2017-04-04T00:00:00.000000000,Nothing to report,R15
2017-03-15T00:00:00.000000000,Seems to be in good condition,R16
2017-06-21T00:00:00.000000000,Seems to be in good condition,R17
2017-02-05T00:00:00.000000000,Nothing to report,R19
2017-03-23T00:00:00.000000000,Nothing to report,R20
2017-02-09T00:00:00.000000000,,R22
2017-08-01T00:00:00.000000000,Faulty power supply was replaced,R23
2017-05-18T00:00:00.000000000,,R24
2017-06-09T00:00:00.000000000,Faulty power supply was replaced,R25
2017-06-08T00:00:00.000000000,,R26
2017-03-12T00:00:00.000000000,Seems to be in good condition,R27
2017-07-20T00:00:00.000000000,Seems to be in good condition,R28
2017-06-07T00:00:00.000000000,Faulty power supply was replaced,R29
2017-06-13T00:00:00.000000000,,R31
2017-03-23T00:00:00.000000000,Nothing to report,R33
2017-05-09T00:00:00.000000000,,R35
2017-07-09T00:00:00.000000000,Faulty power supply was replaced,R36
2017-02-11T00:00:00.000000000,Seems to be in good condition,R37
2017-07-06T00:00:00.000000000,Nothing to report,R38
2017-06-27T00:00:00.000000000,Faulty power supply was replaced,R39
2017-06-06T00:00:00.000000000,Faulty power supply was replaced,R40
2017-06-06T00:00:00.000000000,Faulty power supply was replaced,R41
2017-04-05T00:00:00.000000000,Faulty power supply was replaced,R42
2017-07-15T00:00:00.000000000,,R43
2016-07-14T00:00:00.000000000,Nothing to report,R44
2017-03-22T00:00:00.000000000,Seems to be in good condition,R45
2017-07-30T00:00:00.000000000,Seems to be in good condition,R47
2017-07-16T00:00:00.000000000,Faulty power supply was replaced,R48
2015-10-01T00:00:00.000000000,Faulty power supply was replaced,R49
2017-03-27T00:00:00.000000000,Seems to be in good condition,R50
2017-05-04T00:00:00.000000000,Seems to be in good condition,R51
2017-02-10T00:00:00.000000000,,R52
2017-03-06T00:00:00.000000000,Seems to be in good condition,R53
2016-07-26T00:00:00.000000000,Faulty power supply was replaced,R54
2017-07-18T00:00:00.000000000,Seems to be in good condition,R55
2017-04-05T00:00:00.000000000,Nothing to report,R56
2017-06-16T00:00:00.000000000,Seems to be in good condition,R58
2016-06-04T00:00:00.000000000,Faulty power supply was replaced,R60
2017-06-28T00:00:00.000000000,Nothing to report,R61
2016-04-15T00:00:00.000000000,Seems to be in good condition,R62
2017-02-28T00:00:00.000000000,Faulty power supply was replaced,R63
2016-05-14T00:00:00.000000000,Nothing to report,R64
2017-02-28T00:00:00.000000000,Seems to be in good condition,R65
2017-03-30T00:00:00.000000000,Faulty power supply was replaced,R67
2017-05-21T00:00:00.000000000,,R68
