_id,_form_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,type,code,name,filter,_row_etag,_default_access,_owner,_group_read_only,_group_modify,_group_privileged
,,,,,,Province,1,Province 1,,,,,,,
,,,,,,Province,2,Province 2,,,,,,,
,,,,,,District,1,District 1,1,,,,,,
,,,,,,District,2,District 2,1,,,,,,
,,,,,,District,3,District 3,2,,,,,,
,,,,,,District,4,District 4,2,,,,,,
,,,,,,Catchment,1,Catchment 1,1,,,,,,
,,,,,,Catchment,2,Catchment 2,2,,,,,,
,,,,,,Catchment,3,Catchment 3,3,,,,,,
,,,,,,Catchment,4,Catchment 4,4,,,,,,
,,,,,,Catchment,5,Catchment 5,4,,,,,,
,,,,,,Catchment,6,Catchment 6,1,,,,,,
,,,,,,Catchment,7,Catchment 7,2,,,,,,
