_conflict_type,_default_access,_form_id,_group_modify,_group_privileged,_group_read_only,_id,_locale,_row_etag,_row_owner,_savepoint_creator,_savepoint_timestamp,_savepoint_type,_sync_state,catalog_id,climate_zone,equipment_type,freezer_gross_volume,freezer_net_volume,manufacturer,model_id,power_source,refrigerator_gross_volume,refrigerator_net_volume,refrigerator_picture_contentType,refrigerator_picture_uriFragment
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M1,default,uuid:7efb9b04-bd97-4cba-9be2-c4488f32b367,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,synced,B001,temperate,chest_freezer,464,0,Vestfrost,HF506,"[""electricity""]",0,0,image/jpg,B001.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M10,default,uuid:2900c107-a9b8-4e60-b2ea-e832dc2792a7,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,synced,E003006,hot,ice_lined_refrigerator,0,0,Haier,HBC-200,"[""electricity""]",198,90,image/jpg,E003006.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M11,default,uuid:f28f1cf0-b720-4e14-98d0-a7ebeeb7f250,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,synced,E003007,hot,ice_lined_refrigerator,0,0,Vestfrost,MK304,"[""electricity""]",218,105,image/jpg,E003007.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M12,default,uuid:69806e03-4cfa-481c-8626-1bc9e4f9e82a,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,synced,E003008,hot,solar_photovoltaic_refrigerator,0,0,Dometic,TCW 3000 DC,"[""solar""]",204,109.5,image/jpg,E003008.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M13,default,uuid:b557aaa0-7893-4e7e-ac07-9171e11f95b4,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,synced,E003009,temperate,solar_photovoltaic_refrigerator,0,0,Vestfrost,MK S044,"[""solar""]",48,19.5,image/jpg,E003009.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M14,default,uuid:ae7bd49a-a96f-42f7-ac52-0a13bee38c57,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,synced,E003010,hot,ice_lined_refrigerator,10,0,Vestfrost,MK 074,"[""electricity""]",54,16,image/jpg,E003010.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M15,default,uuid:1b8b2d0a-02b3-44d6-a9e2-9c44678d74d2,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,synced,E003011,hot,ice_lined_refrigerator,0,0,Vestfrost,MK 204,"[""electricity""]",136,75,image/jpg,E003011.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M16,default,uuid:0f54c183-115b-4529-ab4c-9e906003052e,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,synced,E003012,hot,ice_lined_refrigerator,0,0,Vestfrost,MK 404,"[""electricity""]",240,135,image/jpg,E003012.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M17,default,uuid:b2816fe8-f468-491f-9c79-7dcc3ec0696f,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,synced,E003013,hot,ice_lined_refrigerator,0,0,True Energy,BLF 100 AC,"[""electricity""]",125,103,image/jpg,E003013.jpg
,READ_ONLY,,GROUP_ADMIN,GROUP_ADMIN,GROUP_ADMIN,M18,default,uuid:ada442cc-bd81-44e0-92bb-930fd52a9034,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,synced,E003014,hot,ice_lined_refrigerator,0,43,Dometic,TCW2000 AC,"[""electricity""]",60,99,image/jpg,E003014.jpg
