_id,_form_id,catalog_id,model_id,manufacturer,power_source,equipment_type,climate_zone,refrigerator_gross_volume,refrigerator_net_volume,freezer_gross_volume,freezer_net_volume,refrigerator_picture_contentType,refrigerator_picture_uriFragment,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
M5,,E003001,TCW 2000 DC,Dometic,"[""solar""]",solar_photovoltaic_refrigerator,hot,118,76,42,30,image/jpg,E003001.jpg,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,,
M6,,E003002,HBD-116,Haier,"[""electricity""]",chest_freezer,hot,0,0,121,92,image/jpg,E003002.jpg,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,,
M8,,E003004,TFW 800,Dometic,"[""electricity""]",ice_pack_freezer,hot,0,0,247,0,image/jpg,E003004.jpg,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,,
M10,,E003006,HBC-200,Haier,"[""electricity""]",ice_lined_refrigerator,hot,198,90,0,0,image/jpg,E003006.jpg,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,,
M11,,E003007,MK304,Vestfrost,"[""electricity""]",ice_lined_refrigerator,hot,218,105,0,0,image/jpg,E003007.jpg,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,,
M12,,E003008,TCW 3000 DC,Dometic,"[""solar""]",solar_photovoltaic_refrigerator,hot,204,109.5,0,0,image/jpg,E003008.jpg,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,,
M13,,E003009,MK S044,Vestfrost,"[""solar""]",solar_photovoltaic_refrigerator,temperate,48,19.5,0,0,image/jpg,E003009.jpg,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,,
M14,,E003010,MK 074,Vestfrost,"[""electricity""]",ice_lined_refrigerator,hot,54,16,10,0,image/jpg,E003010.jpg,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,,
M15,,E003011,MK 204,Vestfrost,"[""electricity""]",ice_lined_refrigerator,hot,136,75,0,0,image/jpg,E003011.jpg,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,,
M17,,E003013,BLF 100 AC,True Energy,"[""electricity""]",ice_lined_refrigerator,hot,125,103,0,0,image/jpg,E003013.jpg,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,,
