_conflict_type,_default_access,_form_id,_group_modify,_group_privileged,_group_read_only,_id,_locale,_row_etag,_row_owner,_savepoint_creator,_savepoint_timestamp,_savepoint_type,_sync_state,facility_row_id,functional_status,maintenance_priority,model_row_id,power_source,reason_not_working,refrigerator_id,tracking_id,utilization,voltage_regulator,year_installed
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R877,default,uuid:0c3432b6-f16e-4799-aac9-e077e5208fcc,,anonymous,2016-07-11T16:01:59.049000000,COMPLETE,new_row,H568,not_functioning,high,M31,unknown,"[""lack_of_power""]",R877,3210,installed_not_in_use,unknown,2005
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R878,default,uuid:ae56c017-c424-439a-bf89-45837cd14e4a,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H569,functioning,not_applicable,M31,unknown,"[""not_applicable""]",R878,3338,installed_in_use,unknown,2007
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R875,default,uuid:2f12c32b-3b33-4be3-b876-ac3051f518f6,,anonymous,2016-07-11T16:01:59.044000000,COMPLETE,new_row,H567,functioning,not_applicable,M61,electricity,"[""not_applicable""]",R875,2212130,not_installed_waiting_for_installation,unknown,2007
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R876,default,uuid:a2a91c31-3dd1-4fe4-814d-6a927d2a17c7,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,new_row,H568,not_functioning,not_applicable,M54,unknown,"[""not_applicable""]",R876,80200013,installed_in_use,unknown,2008
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R873,default,uuid:5f41398e-c167-4873-ae15-1b852720018b,,anonymous,2016-07-11T16:01:59.040000000,COMPLETE,new_row,H566,not_functioning,medium,M49,solar,"[""needs_spare_parts""]",R873,328A50084,installed_not_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R19,default,uuid:63f8a3c6-d92b-4e79-9c78-63e3c9f1caab,,anonymous,2016-07-11T16:01:59.017000000,COMPLETE,new_row,H448,not_functioning,medium,M61,electricity,"[""needs_spare_parts""]",R19,2212075,installed_not_in_use,unknown,2017
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R874,default,uuid:06e9a92e-6b46-413e-8a1c-34d7c7b7fe44,,anonymous,2016-07-11T16:01:59.042000000,COMPLETE,new_row,H567,functioning,not_applicable,M19,electricity,"[""not_applicable""]",R874,12754AF2502328B,installed_in_use,unknown,2012
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R871,default,uuid:da90ce53-79e5-474b-a1bb-b71e999df625,,anonymous,2016-07-11T16:01:59.033000000,COMPLETE,new_row,H565,functioning,low,M57,unknown,"[""awaiting_decomissioning""]",R871,3248,installed_in_use,unknown,2007
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R17,default,uuid:78896993-a559-4c1c-be5d-193d6ff425f7,,anonymous,2016-07-11T16:01:59.051000000,COMPLETE,new_row,H446,functioning,not_applicable,M49,solar,"[""not_applicable""]",R17,88909,installed_in_use,unknown,2010
,HIDDEN,,GROUP_REGION_SOUTH_EAST,GROUP_ADMIN,GROUP_REGION_SOUTH,R872,default,uuid:2732455a-fe13-46f9-98d2-513c6b4e3bd1,,anonymous,2016-07-11T16:01:59.035000000,COMPLETE,new_row,H566,functioning,not_applicable,M51,unknown,"[""not_applicable""]",R872,22500088,installed_in_use,unknown,2014
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R18,default,uuid:14b28101-bc1d-43fe-9272-3f52f4e58363,,anonymous,2016-07-11T16:01:59.016000000,COMPLETE,new_row,H447,functioning,not_applicable,M61,electricity,"[""not_applicable""]",R18,9460309,installed_in_use,unknown,2016
,HIDDEN,,GROUP_REGION_NORTH,GROUP_ADMIN,GROUP_REGION_NORTH,R15,default,uuid:91f6ba60-4779-4dca-b116-b937ef4328d7,,anonymous,2016-07-11T16:01:59.047000000,COMPLETE,new_row,H444,functioning,not_applicable,M55,unknown,"[""not_applicable""]",R15,94603006,installed_in_use,unknown,2017
