_id,_form_id,refrigerator_id,model_row_id,tracking_id,year,working_status,reason_not_working,utilization,voltage_regulator,power_source,facility_row_id,_locale,_savepoint_type,_savepoint_timestamp,_savepoint_creator,_row_etag,_filter_type,_filter_value
R1,,R1,M19,22400041,2005,functioning,not_applicable,in_use,unknown,electricity,H454,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R2,,R2,M55,9431201,2010,functioning,not_applicable,in_use,unknown,unknown,H455,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R3,,R3,M26,RU001,2004,unservicable,needs_spare_parts,in_store_for_allocation,unknown,solar,H456,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R4,,R4,M51,22500143,1996,functioning,not_applicable,in_store_for_allocation,unknown,unknown,H742,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R5,,R5,M51,22500167,1996,functioning,not_applicable,in_store_for_allocation,unknown,unknown,H742,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R6,,R6,M51,22000053,2003,functioning,not_applicable,in_use,unknown,unknown,H743,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R7,,R7,M49,328A50045,2002,unservicable,needs_spare_parts,in_store_for_allocation,unknown,solar,H743,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R8,,R8,M34,9431943,2010,functioning,not_applicable,in_use,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R9,,R9,M55,9420779,2010,functioning,not_applicable,in_use,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R10,,R10,M20,91093518,1992,unservicable,needs_spare_parts,in_store_for_allocation,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R11,,R11,M67,98270183,1998,unservicable,needs_spare_parts,in_store_for_allocation,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R12,,R12,M58,2212111,2000,functioning,not_applicable,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R13,,R13,M11,20011901984,2000,functioning,not_applicable,in_use,unknown,electricity,H744,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R14,,R14,M18,20011902016,1998,functioning,not_applicable,in_use,unknown,electricity,H443,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R15,,R15,M55,94603006,2011,functioning,not_applicable,in_use,unknown,unknown,H444,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R16,,R16,M52,22400073,2005,functioning,not_applicable,in_use,unknown,unknown,H445,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R17,,R17,M49,88909,2004,functioning,not_applicable,in_use,unknown,solar,H446,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R18,,R18,M61,9460309,2010,functioning,not_applicable,in_use,unknown,electricity,H447,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
R19,,R19,M61,2212075,2011,unservicable,needs_spare_parts,not_in_use,unknown,electricity,H448,default,COMPLETE,2016-07-11T16:01:59.017000000,anonymous,,HIDDEN,
R20,,R20,M42,930209,2009,functioning,not_applicable,in_use,unknown,electricity,H449,default,COMPLETE,2016-07-11T16:01:59.019000000,anonymous,,HIDDEN,
R21,,R21,M49,328A50066,2003,unservicable,needs_spare_parts,not_in_use,unknown,solar,H450,default,COMPLETE,2016-07-11T16:01:59.022000000,anonymous,,HIDDEN,
R22,,R22,M43,328A50066,2003,unservicable,needs_spare_parts,in_store_for_allocation,unknown,electricity,H450,default,COMPLETE,2016-07-11T16:01:59.023000000,anonymous,,HIDDEN,
R23,,R23,M55,9431187,2010,functioning,not_applicable,in_use,unknown,unknown,H437,default,COMPLETE,2016-07-11T16:01:59.025000000,anonymous,,HIDDEN,
R24,,R24,M65,20011902072,2010,functioning,not_applicable,in_use,unknown,electricity,H438,default,COMPLETE,2016-07-11T16:01:59.027000000,anonymous,,HIDDEN,
R25,,R25,M61,942075,2010,functioning,not_applicable,in_use,unknown,electricity,H439,default,COMPLETE,2016-07-11T16:01:59.029000000,anonymous,,HIDDEN,
R26,,R26,M10,20011304492,2003,functioning,not_applicable,in_use,unknown,electricity,H440,default,COMPLETE,2016-07-11T16:01:59.031000000,anonymous,,HIDDEN,
R27,,R27,M49,327A50025,2003,functioning,not_applicable,in_use,unknown,solar,H441,default,COMPLETE,2016-07-11T16:01:59.033000000,anonymous,,HIDDEN,
R28,,R28,M19,3267,2011,functioning,not_applicable,in_use,unknown,electricity,H442,default,COMPLETE,2016-07-11T16:01:59.035000000,anonymous,,HIDDEN,
R29,,R29,M42,9393210,2009,functioning,not_applicable,in_use,unknown,electricity,H451,default,COMPLETE,2016-07-11T16:01:59.040000000,anonymous,,HIDDEN,
R30,,R30,M34,9431953,2010,functioning,not_applicable,in_use,unknown,electricity,H452,default,COMPLETE,2016-07-11T16:01:59.042000000,anonymous,,HIDDEN,
R31,,R31,M61,2212101,2003,functioning,not_applicable,in_use,unknown,electricity,H453,default,COMPLETE,2016-07-11T16:01:59.044000000,anonymous,,HIDDEN,
R32,,R32,M55,2212048,2010,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.047000000,anonymous,,HIDDEN,
R33,,R33,M58,2212123,2000,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.049000000,anonymous,,HIDDEN,
R34,,R34,M52,4900015,1998,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.051000000,anonymous,,HIDDEN,
R35,,R35,M51,22500175,1998,unservicable,needs_spare_parts,in_store_for_allocation,unknown,unknown,H744,default,COMPLETE,2016-07-11T16:01:59.016000000,anonymous,,HIDDEN,
