department,pam
Antioquia,Apartado_Fijo
Antioquia,Medellin_Fijo
Antioquia,Medellin_Movil
Arauca,Arauca_Fijo
Arauca,Arauca_Movil
Arauca,Saravena_Fijo
Arauca,Saravena_Movil
Atlantico,Barranquilla__Fijo
Atlantico,Barranquilla_Movil
Bolivar,Cartagena_Movil
Boyaca,Tunja_Fijo
Boyaca,Tunja_Movil
Casanare,Yopal_Movil
Cauca,El_Bordo_Fijo
Cauca,Rosas_Fijo
"Bogotá, D.C.",Bogota_CIAM
"Bogotá, D.C.",Bogota_Movil
"Bogotá, D.C.",Bogota_Super_Cade
Cundinamarca,Soacha_Fijo
Guainia,Puerto_Inirida_Fijo
Guainia,Puerto_Inirida_Movil
La_Guajira,Maicao_CAI
La_Guajira,Maicao_Fijo
La_Guajira,Maicao_Movil
La_Guajira,Paraguachon_Fijo
La_Guajira,Riohacha_IPS
La_Guajira,Riohacha_Movil
Magdalena,Santa_Marta_Movil
Nariño,Ipiales_Fijo
Nariño,Ipiales_Movil
Nariño,Rumichaca_Fijo
Norte_De_Santander,Catatumbo_Movil
Norte_De_Santander,Cucuta__Movil_Comuna
Norte_De_Santander,Cucuta_IPS
Norte_De_Santander,Cucuta_Movil_Escobal
Norte_De_Santander,Cucuta_Movil_Puente_Fco._Paula
Norte_De_Santander,La_Viuda_Fijo
Norte_De_Santander,Laguna_Fijo
Norte_De_Santander,Montebello_Fijo
Norte_De_Santander,Montebello_Movil_Monarca
Norte_De_Santander,Pamplona_Fijo
Norte_De_Santander,Villa_Del_Rosario_CENAF
Norte_De_Santander,Las_Margaritas
Putumayo,La_Hormiga_Fijo
Putumayo,La_Hormiga_Movil
Putumayo,Puerto_Asis_Movil
Quindio,Calarca_Fijo
Santander,Barrancabermeja__Fijo
Santander,Bucaramanga_Fijo_CASA
Santander,Bucaramanga_Movil
Valle_Del_Cauca,Cali_Movil
Vichada,Puerto_Carreño_Movil
