_element_key,_element_name,_element_type,_list_child_element_keys
burn_type,burn_type,array,"[""burn_type_items""]"
burn_type_items,items,string,[]
celebrate_holiday,celebrate_holiday,string,[]
cooking_commercial,cooking_commercial,string,[]
cooking_injuries,cooking_injuries,string,[]
cooking_injury_severity,cooking_injury_severity,string,[]
cooking_injury_type,cooking_injury_type,array,"[""cooking_injury_type_items""]"
cooking_injury_type_items,items,string,[]
ever_smoked,ever_smoked,string,[]
faced_health_problems,faced_health_problems,string,[]
fasting,fasting,string,[]
fuel_income,fuel_income,integer,[]
fuel_injuries,fuel_injuries,string,[]
fuel_sold,fuel_sold,string,[]
household_id,household_id,string,[]
in_room_smoke,in_room_smoke,string,[]
injera_buy_bake,injera_buy_bake,string,[]
injera_eat,injera_eat,string,[]
made_fuel_purchases,made_fuel_purchases,array,"[""made_fuel_purchases_items""]"
made_fuel_purchases_items,items,string,[]
primary_cook,primary_cook,string,[]
primary_languages,primary_languages,array,"[""primary_languages_items""]"
primary_languages_items,items,string,[]
produce_charcoal,produce_charcoal,string,[]
qa_cooking_1,qa_cooking_1,array,"[""qa_cooking_1_items""]"
qa_cooking_1_items,items,string,[]
qa_cooking_2,qa_cooking_2,array,"[""qa_cooking_2_items""]"
qa_cooking_2_items,items,string,[]
qa_food_expense_1,qa_food_expense_1,array,"[""qa_food_expense_1_items""]"
qa_food_expense_1_items,items,string,[]
qa_food_expense_2,qa_food_expense_2,array,"[""qa_food_expense_2_items""]"
qa_food_expense_2_items,items,string,[]
qa_fuel_1,qa_fuel_1,array,"[""qa_fuel_1_items""]"
qa_fuel_1_items,items,string,[]
qa_fuel_2,qa_fuel_2,array,"[""qa_fuel_2_items""]"
qa_fuel_2_items,items,string,[]
qa_fuel_purchase,qa_fuel_purchase,array,"[""qa_fuel_purchase_items""]"
qa_fuel_purchase_items,items,string,[]
reasons_not,reasons_not,string,[]
received_medical_care,received_medical_care,string,[]
religion_affects_habits,religion_affects_habits,string,[]
religions_practiced,religions_practiced,string,[]
spent_time_collecting_water,spent_time_collecting_water,array,"[""spent_time_collecting_water_items""]"
spent_time_collecting_water_items,items,string,[]
spent_time_cooking,spent_time_cooking,array,"[""spent_time_cooking_items""]"
spent_time_cooking_items,items,string,[]
spent_time_fuel_collection,spent_time_fuel_collection,array,"[""spent_time_fuel_collection_items""]"
spent_time_fuel_collection_items,items,string,[]
spent_time_transport_wood,spent_time_transport_wood,array,"[""spent_time_transport_wood_items""]"
spent_time_transport_wood_items,items,string,[]
stove_type,stove_type,string,[]
which_holiday,which_holiday,string,[]
who_faced_health_problems,who_faced_health_problems,array,"[""who_faced_health_problems_items""]"
who_faced_health_problems_items,items,string,[]
who_in_room,who_in_room,array,"[""who_in_room_items""]"
who_in_room_items,items,string,[]
who_received_med_assistance,who_received_med_assistance,array,"[""who_received_med_assistance_items""]"
who_received_med_assistance_items,items,string,[]
who_smoked,who_smoked,array,"[""who_smoked_items""]"
who_smoked_items,items,string,[]
