_partition,_aspect,_key,_type,_value
Column,burn_type,displayChoicesList,object,"[{""choice_list_name"":""burn_types"",""data_value"":""fell"",""display"":{""title"":{""text"":""Fell in the fire""}},""_row_num"":21},{""choice_list_name"":""burn_types"",""data_value"":""contact"",""display"":{""title"":{""text"":""Contact with stove""}},""_row_num"":22},{""choice_list_name"":""burn_types"",""data_value"":""object"",""display"":{""title"":{""text"":""Burned with other hot object""}},""_row_num"":23},{""choice_list_name"":""burn_types"",""data_value"":""water"",""display"":{""title"":{""text"":""Container with hot water was spilled""}},""_row_num"":24}]"
Column,celebrate_holiday,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,cooking_commercial,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,cooking_injuries,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,cooking_injury_severity,displayChoicesList,object,"[{""choice_list_name"":""severity"",""data_value"":""light"",""display"":{""title"":{""text"":""Light (No scar)""}},""_row_num"":18},{""choice_list_name"":""severity"",""data_value"":""moderate"",""display"":{""title"":{""text"":""Moderate (moderate scar)""}},""_row_num"":19},{""choice_list_name"":""severity"",""data_value"":""serious"",""display"":{""title"":{""text"":""Serious (larger scar)""}},""_row_num"":20}]"
Column,cooking_injury_type,displayChoicesList,object,"[{""choice_list_name"":""cooking_injury_types"",""data_value"":""burns"",""display"":{""title"":{""text"":""Burns""}},""_row_num"":16},{""choice_list_name"":""cooking_injury_types"",""data_value"":""cuts"",""display"":{""title"":{""text"":""Cuts""}},""_row_num"":17}]"
Column,ever_smoked,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,faced_health_problems,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,fasting,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,fuel_injuries,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,fuel_sold,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
Column,in_room_smoke,displayChoicesList,object,"[{""choice_list_name"":""no_yes"",""data_value"":""no"",""display"":{""title"":{""text"":""No""}},""_row_num"":2},{""choice_list_name"":""no_yes"",""data_value"":""yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3}]"
