_element_key,_element_name,_element_type,_list_child_element_keys
age,age,integer,[]
answering,answering,string,[]
answering_for_self,answering_for_self,string,[]
answering_self_95,answering_self_95,string,[]
attend_school,attend_school,string,[]
began_smoke_age,began_smoke_age,integer,[]
cough,cough,string,[]
cough_frequency,cough_frequency,string,[]
currently_school,currently_school,string,[]
days_absent,days_absent,integer,[]
days_eye_problem,days_eye_problem,integer,[]
days_fever,days_fever,integer,[]
days_short_of_breath,days_short_of_breath,integer,[]
days_sore_throat,days_sore_throat,integer,[]
days_stuffy_nose,days_stuffy_nose,integer,[]
diagnosis,diagnosis,string,[]
diagnosis_by_whom,diagnosis_by_whom,string,[]
dizziness_2months,dizziness_2months,string,[]
dizziness_7days,dizziness_7days,string,[]
dizziness_number_days,dizziness_number_days,integer,[]
dry_cough,dry_cough,string,[]
eye_problem,eye_problem,string,[]
fever,fever,string,[]
fuel_injury,fuel_injury,string,[]
gender,gender,string,[]
grade_level,grade_level,string,[]
grade_within_level,grade_within_level,string,[]
headache_2months,headache_2months,string,[]
headache_7days,headache_7days,string,[]
headache_number_days,headache_number_days,integer,[]
hours_collecting,hours_collecting,integer,[]
hours_fuel_materials,hours_fuel_materials,integer,[]
hours_fuel_purchase,hours_fuel_purchase,integer,[]
hours_fuel_sale,hours_fuel_sale,integer,[]
hours_spent_collecting_water,hours_spent_collecting_water,integer,[]
hours_spent_cooking,hours_spent_cooking,integer,[]
hours_spent_wood,hours_spent_wood,integer,[]
household_id,household_id,string,[]
injury_faced,injury_faced,string,[]
is_smoker,is_smoker,string,[]
marital_status,marital_status,string,[]
month_eye_problem,month_eye_problem,string,[]
month_fever,month_fever,string,[]
month_short_of_breath,month_short_of_breath,string,[]
month_sore_throat,month_sore_throat,string,[]
month_stuffy_nose,month_stuffy_nose,string,[]
months_away,months_away,integer,[]
name,name,string,[]
number_cigarettes,number_cigarettes,integer,[]
post_secondary,post_secondary,string,[]
primary_occupation,primary_occupation,string,[]
productive_cough,productive_cough,string,[]
region_born,region_born,string,[]
relation,relation,string,[]
religion,religion,string,[]
school_type,school_type,array,"[""school_type_items""]"
school_type_items,items,string,[]
shortness_of_breath,shortness_of_breath,string,[]
smoked_years_ago,smoked_years_ago,integer,[]
smokes_in_house,smokes_in_house,string,[]
sore_throat,sore_throat,string,[]
stuffy_nose,stuffy_nose,string,[]
where_medical_attention,where_medical_attention,array,"[""where_medical_attention_items""]"
where_medical_attention_items,items,string,[]
write_language,write_language,string,[]
