_partition,_aspect,_key,_type,_value
Column,Procedure_id,displayChoicesList,string,[]
Column,Procedure_id,displayFormat,string,""
Column,Procedure_id,displayName,string,"""Procedure_id"""
Column,Procedure_id,displayVisible,boolean,TRUE
Column,Procedure_id,joins,string,""
Column,Source,displayChoicesList,string,[]
Column,Source,displayFormat,string,""
Column,Source,displayName,string,"""Source"""
Column,Source,displayVisible,boolean,TRUE
Column,Source,joins,string,""
Column,Temperature,displayChoicesList,string,[]
Column,Temperature,displayFormat,string,""
Column,Temperature,displayName,string,"""Temperature"""
Column,Temperature,displayVisible,boolean,TRUE
Column,Temperature,joins,string,""
Column,Time,displayChoicesList,string,[]
Column,Time,displayFormat,string,""
Column,Time,displayName,string,"""Time"""
Column,Time,displayVisible,boolean,TRUE
Column,Time,joins,string,""
GraphDisplayActivity.views,boxplot,graphtype,string,Box Plot
Table,default,colOrder,string,"[""Source"",""Procedure_id"",""Time"",""Temperature""]"
Table,default,defaultViewType,string,Graph
Table,default,displayName,string,"""Milk bank"""
Table,default,groupByCols,string,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""synced_pending_files"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSyncedPendingFiles"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
