_partition,_aspect,_key,_type,_value
Column,box,displayChoicesList,object,"[{""choice_list_name"":""box_list"",""data_value"":""box of 4"",""display"":{""title"":{""text"":""A box of 4""}},""_row_num"":8},{""choice_list_name"":""box_list"",""data_value"":""box of 6"",""display"":{""title"":{""text"":""A box of 6""}},""_row_num"":9},{""choice_list_name"":""box_list"",""data_value"":""box of 8"",""display"":{""title"":{""text"":""A box of 8""}},""_row_num"":10},{""choice_list_name"":""box_list"",""data_value"":""box of 10"",""display"":{""title"":{""text"":""A box of 10""}},""_row_num"":11}]"
Column,flavor,displayChoicesList,object,"[{""choice_list_name"":""flavor_list"",""data_value"":""choc fudge"",""display"":{""title"":{""text"":""Chocolate Fudge""}},""_row_num"":16},{""choice_list_name"":""flavor_list"",""data_value"":""red velvet"",""display"":{""title"":{""text"":""Red Velvet""}},""_row_num"":17},{""choice_list_name"":""flavor_list"",""data_value"":""cheese"",""display"":{""title"":{""text"":""Cheese Cake""}},""_row_num"":18},{""choice_list_name"":""flavor_list"",""data_value"":""cookies and cream"",""display"":{""title"":{""text"":""Cookies and Cream""}},""_row_num"":19},{""choice_list_name"":""flavor_list"",""data_value"":""white choc"",""display"":{""title"":{""text"":""White Chocolate""}},""_row_num"":20}]"
Column,menu,displayChoicesList,object,"[{""choice_list_name"":""order_list"",""data_value"":""cupcake"",""display"":{""title"":{""text"":""Cupcakes""}},""_row_num"":2},{""choice_list_name"":""order_list"",""data_value"":""cinnamon roll"",""display"":{""title"":{""text"":""Cinnamon Rolls""}},""_row_num"":3},{""choice_list_name"":""order_list"",""data_value"":""croissant"",""display"":{""title"":{""text"":""Croissants""}},""_row_num"":4},{""choice_list_name"":""order_list"",""data_value"":""cake"",""display"":{""title"":{""text"":""Cake""}},""_row_num"":5},{""choice_list_name"":""order_list"",""data_value"":""doughnut"",""display"":{""title"":{""text"":""Doughnuts""}},""_row_num"":6},{""choice_list_name"":""order_list"",""data_value"":""bread roll"",""display"":{""title"":{""text"":""Bread Rolls""}},""_row_num"":7}]"
Column,size,displayChoicesList,object,"[{""choice_list_name"":""size_list"",""data_value"":""6\"""",""display"":{""title"":{""text"":""6 inches""}},""_row_num"":12},{""choice_list_name"":""size_list"",""data_value"":""8\"""",""display"":{""title"":{""text"":""8 inches""}},""_row_num"":13},{""choice_list_name"":""size_list"",""data_value"":""10\"""",""display"":{""title"":{""text"":""10 inches""}},""_row_num"":14},{""choice_list_name"":""size_list"",""data_value"":""12\"""",""display"":{""title"":{""text"":""12 inches""}},""_row_num"":15}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,SkipLogic
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/SkipLogic/html/SkipLogic_detail.html
Table,default,displayName,object,"{""text"":""Skip Logic Example Form""}"
Table,default,listViewFileName,string,config/tables/SkipLogic/html/SkipLogic_list.html
