_element_key,_element_name,_element_type,_list_child_element_keys
Customers,Customers,integer,[]
Date_Opened,Date_Opened,date,[]
District,District,string,[]
Hot,Hot,string,[]
House_id,House_id,string,[]
Iced,Iced,string,[]
Location,Location,geopoint,"[""Location_latitude"",""Location_longitude"",""Location_altitude"",""Location_accuracy""]"
Location_accuracy,accuracy,number,[]
Location_altitude,altitude,number,[]
Location_latitude,latitude,number,[]
Location_longitude,longitude,number,[]
Name,Name,string,[]
Neighborhood,Neighborhood,string,[]
Owner,Owner,string,[]
Phone_Number,Phone_Number,string,[]
Region,Region,string,[]
Specialty_Type_id,Specialty_Type_id,string,[]
State,State,string,[]
Visits,Visits,integer,[]
WiFi,WiFi,string,[]
