_partition,_aspect,_key,_type,_value
Column,Hot,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":4}]"
Column,Iced,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":4}]"
Column,WiFi,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":3},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":4}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,Tea_houses
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/Tea_houses/html/Tea_houses_detail.html
Table,default,displayName,object,"{""text"":""Tea Houses""}"
Table,default,listViewFileName,string,config/tables/Tea_houses/html/Tea_houses_list.html
Table,default,mapListViewFileName,string,config/tables/Tea_houses/html/Tea_houses_list.html
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyMapLatCol,string,Location_latitude
TableMapFragment,default,keyMapLongCol,string,Location_longitude
