_partition,_aspect,_key,_type,_value
Column,Bags,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,Cold,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,Hot,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,Loose_Leaf,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,Tea_inventory
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/Tea_inventory/html/Tea_inventory_detail.html
Table,default,displayName,object,"{""text"":""Tea Inventory""}"
Table,default,listViewFileName,string,config/tables/Tea_inventory/html/Tea_inventory_list.html
