_element_key,_element_name,_element_type,_list_child_element_keys
Dose1_MIFComm_HealthCenter,Dose1_MIFComm_HealthCenter,integer,[]
Dose1_MIFComm_Outreach,Dose1_MIFComm_Outreach,integer,[]
Dose1_MIFStudents_Outreach,Dose1_MIFStudents_Outreach,integer,[]
Dose1_MIFWorkers_Outreach,Dose1_MIFWorkers_Outreach,integer,[]
Dose1_Other_notMIF_HealthCenter,Dose1_Other_notMIF_HealthCenter,integer,[]
Dose1_Other_notMIF_Outreach,Dose1_Other_notMIF_Outreach,integer,[]
Dose1_PregnantWoman_HealthCenter,Dose1_PregnantWoman_HealthCenter,integer,[]
Dose1_PregnantWoman_Outreach,Dose1_PregnantWoman_Outreach,integer,[]
Dose1_Students_notMIF_Outreach,Dose1_Students_notMIF_Outreach,integer,[]
Dose1_Workers_notMIF_Outreach,Dose1_Workers_notMIF_Outreach,integer,[]
Dose2_MIFComm_HealthCenter,Dose2_MIFComm_HealthCenter,integer,[]
Dose2_MIFComm_Outreach,Dose2_MIFComm_Outreach,integer,[]
Dose2_MIFStudents_Outreach,Dose2_MIFStudents_Outreach,integer,[]
Dose2_MIFWorkers_Outreach,Dose2_MIFWorkers_Outreach,integer,[]
Dose2_Other_notMIF_HealthCenter,Dose2_Other_notMIF_HealthCenter,integer,[]
Dose2_Other_notMIF_Outreach,Dose2_Other_notMIF_Outreach,integer,[]
Dose2_PregnantWoman_HealthCenter,Dose2_PregnantWoman_HealthCenter,integer,[]
Dose2_PregnantWoman_Outreach,Dose2_PregnantWoman_Outreach,integer,[]
Dose2_Students_notMIF_Outreach,Dose2_Students_notMIF_Outreach,integer,[]
Dose2_Workers_notMIF_Outreach,Dose2_Workers_notMIF_Outreach,integer,[]
MIFCOMM1_HC_NR_checkbox,MIFCOMM1_HC_NR_checkbox,array,"[""MIFCOMM1_HC_NR_checkbox_items""]"
MIFCOMM1_HC_NR_checkbox_items,items,string,[]
MIFCOMM1_O_NR_checkbox,MIFCOMM1_O_NR_checkbox,array,"[""MIFCOMM1_O_NR_checkbox_items""]"
MIFCOMM1_O_NR_checkbox_items,items,string,[]
MIFCOMM2_HC_NR_checkbox,MIFCOMM2_HC_NR_checkbox,array,"[""MIFCOMM2_HC_NR_checkbox_items""]"
MIFCOMM2_HC_NR_checkbox_items,items,string,[]
MIFCOMM2_O_NR_checkbox,MIFCOMM2_O_NR_checkbox,array,"[""MIFCOMM2_O_NR_checkbox_items""]"
MIFCOMM2_O_NR_checkbox_items,items,string,[]
MIFS1_O_NR_checkbox,MIFS1_O_NR_checkbox,array,"[""MIFS1_O_NR_checkbox_items""]"
MIFS1_O_NR_checkbox_items,items,string,[]
MIFS2_O_NR_checkbox,MIFS2_O_NR_checkbox,array,"[""MIFS2_O_NR_checkbox_items""]"
MIFS2_O_NR_checkbox_items,items,string,[]
MIFW1_O_NR_checkbox,MIFW1_O_NR_checkbox,array,"[""MIFW1_O_NR_checkbox_items""]"
MIFW1_O_NR_checkbox_items,items,string,[]
MIFW2_O_NR_checkbox,MIFW2_O_NR_checkbox,array,"[""MIFW2_O_NR_checkbox_items""]"
MIFW2_O_NR_checkbox_items,items,string,[]
O1_HC_NR_checkbox,O1_HC_NR_checkbox,array,"[""O1_HC_NR_checkbox_items""]"
O1_HC_NR_checkbox_items,items,string,[]
O1_O_NR_checkbox,O1_O_NR_checkbox,array,"[""O1_O_NR_checkbox_items""]"
O1_O_NR_checkbox_items,items,string,[]
O2_HC_NR_checkbox,O2_HC_NR_checkbox,array,"[""O2_HC_NR_checkbox_items""]"
O2_HC_NR_checkbox_items,items,string,[]
O2_O_NR_checkbox,O2_O_NR_checkbox,array,"[""O2_O_NR_checkbox_items""]"
O2_O_NR_checkbox_items,items,string,[]
OV_NR_checkbox,OV_NR_checkbox,array,"[""OV_NR_checkbox_items""]"
OV_NR_checkbox_items,items,string,[]
OpenedVials,OpenedVials,integer,[]
PW1_HC_NR_checkbox,PW1_HC_NR_checkbox,array,"[""PW1_HC_NR_checkbox_items""]"
PW1_HC_NR_checkbox_items,items,string,[]
PW1_O_NR_checkbox,PW1_O_NR_checkbox,array,"[""PW1_O_NR_checkbox_items""]"
PW1_O_NR_checkbox_items,items,string,[]
PW2_HC_NR_checkbox,PW2_HC_NR_checkbox,array,"[""PW2_HC_NR_checkbox_items""]"
PW2_HC_NR_checkbox_items,items,string,[]
PW2_O_NR_checkbox,PW2_O_NR_checkbox,array,"[""PW2_O_NR_checkbox_items""]"
PW2_O_NR_checkbox_items,items,string,[]
S1_O_NR_checkbox,S1_O_NR_checkbox,array,"[""S1_O_NR_checkbox_items""]"
S1_O_NR_checkbox_items,items,string,[]
S2_O_NR_checkbox,S2_O_NR_checkbox,array,"[""S2_O_NR_checkbox_items""]"
S2_O_NR_checkbox_items,items,string,[]
W1_O_NR_checkbox,W1_O_NR_checkbox,array,"[""W1_O_NR_checkbox_items""]"
W1_O_NR_checkbox_items,items,string,[]
W2_O_NR_checkbox,W2_O_NR_checkbox,array,"[""W2_O_NR_checkbox_items""]"
W2_O_NR_checkbox_items,items,string,[]
