_partition,_aspect,_key,_type,_value
Column,Dose1_MIFComm_HealthCenter,displayName,object,"{""text"":""Dose1_MIFComm_HealthCenter""}"
Column,Dose1_MIFComm_Outreach,displayName,object,"{""text"":""Dose1_MIFComm_Outreach""}"
Column,Dose1_MIFStudents_Outreach,displayName,object,"{""text"":""Dose1_MIFStudents_Outreach""}"
Column,Dose1_MIFWorkers_Outreach,displayName,object,"{""text"":""Dose1_MIFWorkers_Outreach""}"
Column,Dose1_Other_notMIF_HealthCenter,displayName,object,"{""text"":""Dose1_Other_notMIF_HealthCenter""}"
Column,Dose1_Other_notMIF_Outreach,displayName,object,"{""text"":""Dose1_Other_notMIF_Outreach""}"
Column,Dose1_PregnantWoman_HealthCenter,displayName,object,"{""text"":""Dose1_PregnantWoman_HealthCenter""}"
Column,Dose1_PregnantWoman_Outreach,displayName,object,"{""text"":""Dose1_PregnantWoman_Outreach""}"
Column,Dose1_Students_notMIF_Outreach,displayName,object,"{""text"":""Dose1_Students_notMIF_Outreach""}"
Column,Dose1_Workers_notMIF_Outreach,displayName,object,"{""text"":""Dose1_Workers_notMIF_Outreach""}"
Column,Dose2_MIFComm_HealthCenter,displayName,object,"{""text"":""Dose2_MIFComm_HealthCenter""}"
Column,Dose2_MIFComm_Outreach,displayName,object,"{""text"":""Dose2_MIFComm_Outreach""}"
Column,Dose2_MIFStudents_Outreach,displayName,object,"{""text"":""Dose2_MIFStudents_Outreach""}"
Column,Dose2_MIFWorkers_Outreach,displayName,object,"{""text"":""Dose2_MIFWorkers_Outreach""}"
Column,Dose2_Other_notMIF_HealthCenter,displayName,object,"{""text"":""Dose2_Other_notMIF_HealthCenter""}"
Column,Dose2_Other_notMIF_Outreach,displayName,object,"{""text"":""Dose2_Other_notMIF_Outreach""}"
Column,Dose2_PregnantWoman_HealthCenter,displayName,object,"{""text"":""Dose2_PregnantWoman_HealthCenter""}"
Column,Dose2_PregnantWoman_Outreach,displayName,object,"{""text"":""Dose2_PregnantWoman_Outreach""}"
Column,Dose2_Students_notMIF_Outreach,displayName,object,"{""text"":""Dose2_Students_notMIF_Outreach""}"
Column,Dose2_Workers_notMIF_Outreach,displayName,object,"{""text"":""Dose2_Workers_notMIF_Outreach""}"
Column,MIFCOMM1_HC_NR_checkbox,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""title"":{""text"":""NR""}},""_row_num"":30}]"
Column,MIFCOMM1_HC_NR_checkbox,displayName,object,"{""text"":""MIFCOMM1_HC_NR_checkbox""}"
