_partition,_aspect,_key,_type,_value
Column,Date_and_Time,displayChoicesList,object,[]
Column,Date_and_Time,displayFormat,string,""
Column,Date_and_Time,displayName,string,"""Date_and_Time"""
Column,Date_and_Time,displayVisible,boolean,TRUE
Column,Date_and_Time,joins,object,""
Column,Sample,displayChoicesList,object,[]
Column,Sample,displayFormat,string,""
Column,Sample,displayName,string,"""Sample"""
Column,Sample,displayVisible,boolean,TRUE
Column,Sample,joins,object,""
Column,plot_name,displayChoicesList,object,[]
Column,plot_name,displayFormat,string,""
Column,plot_name,displayName,string,"""plot_name"""
Column,plot_name,displayVisible,boolean,TRUE
Column,plot_name,joins,object,""
Column,soil_condition,displayChoicesList,object,"[{""choice_list_name"":""soil_type"",""data_value"":""dry"",""display"":{""text"":""Dry""},""_row_num"":2},{""choice_list_name"":""soil_type"",""data_value"":""damp"",""display"":{""text"":""Damp""},""_row_num"":3},{""choice_list_name"":""soil_type"",""data_value"":""moist"",""display"":{""text"":""Moist""},""_row_num"":4},{""choice_list_name"":""soil_type"",""data_value"":""wet"",""display"":{""text"":""Wet""},""_row_num"":5}]"
Column,soil_condition,displayFormat,string,""
Column,soil_condition,displayName,string,"""soil_condition"""
Column,soil_condition,displayVisible,boolean,TRUE
Column,soil_condition,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,agriculture
Table,default,colOrder,array,"[""Date_and_Time"",""plot_name"",""soil_condition"",""Sample""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Agriculture"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
