_element_key,_element_name,_element_type,_list_child_element_keys
custom_delivery_form_id,custom_delivery_form_id,string,[]
date_created,date_created,string,[]
distribution_id,distribution_id,string,[]
distribution_name,distribution_name,string,[]
extra_field_entitlements,extra_field_entitlements,string,[]
for_member,for_member,string,[]
item_pack_description,item_pack_description,string,[]
item_pack_id,item_pack_id,string,[]
item_pack_name,item_pack_name,string,[]
item_pack_ranges,item_pack_ranges,string,[]
status,status,string,[]
status_reason,status_reason,string,[]
type,type,string,[]
