_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
beneficiary_code,beneficiary_code,string,[]
city,city,string,[]
confirm_distribution,confirm_distribution,boolean,[]
country,country,string,[]
date_distributed,date_distributed,dateTime,[]
date_screened,date_screened,dateTime,[]
envelope_code,envelope_code,string,[]
first_last_name,first_last_name,string,[]
first_name,first_name,string,[]
last_name,last_name,string,[]
pic_of_card,pic_of_card,mimeUri,"[""pic_of_card_uriFragment"",""pic_of_card_contentType""]"
pic_of_card_contentType,contentType,string,[]
pic_of_card_uriFragment,uriFragment,rowpath,[]
postcode,postcode,string,[]
received_card,received_card,integer,[]
spare_str_1,spare_str_1,string,[]
spare_str_2,spare_str_2,string,[]
spare_str_3,spare_str_3,string,[]
spare_str_4,spare_str_4,string,[]
spare_str_5,spare_str_5,string,[]
spare_str_6,spare_str_6,string,[]
state,state,string,[]
telephone,telephone,string,[]
