_partition,_aspect,_key,_type,_value
Column,address,displayChoicesList,object,[]
Column,address,displayFormat,string,""
Column,address,displayName,string,"""address"""
Column,address,displayVisible,boolean,TRUE
Column,address,joins,object,""
Column,beneficiary_code,displayChoicesList,object,[]
Column,beneficiary_code,displayFormat,string,""
Column,beneficiary_code,displayName,string,"""beneficiary_code"""
Column,beneficiary_code,displayVisible,boolean,TRUE
Column,beneficiary_code,joins,object,""
Column,city,displayChoicesList,object,[]
Column,city,displayFormat,string,""
Column,city,displayName,string,"""city"""
Column,city,displayVisible,boolean,TRUE
Column,city,joins,object,""
Column,confirm_distribution,displayChoicesList,object,[]
Column,confirm_distribution,displayFormat,string,""
Column,confirm_distribution,displayName,string,"""confirm_distribution"""
Column,confirm_distribution,displayVisible,boolean,TRUE
Column,confirm_distribution,joins,object,""
Column,country,displayChoicesList,object,[]
Column,country,displayFormat,string,""
Column,country,displayName,string,"""country"""
Column,country,displayVisible,boolean,TRUE
Column,country,joins,object,""
Column,date_distributed,displayChoicesList,object,[]
Column,date_distributed,displayFormat,string,""
Column,date_distributed,displayName,string,"""date_distributed"""
Column,date_distributed,displayVisible,boolean,TRUE
Column,date_distributed,joins,object,""
Column,date_screened,displayChoicesList,object,[]
Column,date_screened,displayFormat,string,""
Column,date_screened,displayName,string,"""date_screened"""
Column,date_screened,displayVisible,boolean,TRUE
Column,date_screened,joins,object,""
Column,envelope_code,displayChoicesList,object,[]
Column,envelope_code,displayFormat,string,""
Column,envelope_code,displayName,string,"""envelope_code"""
Column,envelope_code,displayVisible,boolean,TRUE
Column,envelope_code,joins,object,""
Column,first_last_name,displayChoicesList,object,[]
Column,first_last_name,displayFormat,string,""
Column,first_last_name,displayName,string,"""first_last_name"""
Column,first_last_name,displayVisible,boolean,TRUE
Column,first_last_name,joins,object,""
Column,first_name,displayChoicesList,object,[]
Column,first_name,displayFormat,string,""
Column,first_name,displayName,string,"""first_name"""
Column,first_name,displayVisible,boolean,TRUE
Column,first_name,joins,object,""
Column,last_name,displayChoicesList,object,[]
Column,last_name,displayFormat,string,""
Column,last_name,displayName,string,"""last_name"""
Column,last_name,displayVisible,boolean,TRUE
Column,last_name,joins,object,""
Column,pic_of_card,displayChoicesList,object,[]
Column,pic_of_card,displayFormat,string,""
Column,pic_of_card,displayName,string,"""pic_of_card"""
Column,pic_of_card,displayVisible,boolean,TRUE
Column,pic_of_card,joins,object,""
Column,pic_of_card_contentType,displayChoicesList,object,[]
Column,pic_of_card_contentType,displayFormat,string,""
Column,pic_of_card_contentType,displayName,string,"""contentType"""
Column,pic_of_card_contentType,displayVisible,boolean,TRUE
Column,pic_of_card_contentType,joins,object,""
Column,pic_of_card_uriFragment,displayChoicesList,object,[]
Column,pic_of_card_uriFragment,displayFormat,string,""
Column,pic_of_card_uriFragment,displayName,string,"""uriFragment"""
Column,pic_of_card_uriFragment,displayVisible,boolean,TRUE
Column,pic_of_card_uriFragment,joins,object,""
Column,postcode,displayChoicesList,object,[]
Column,postcode,displayFormat,string,""
Column,postcode,displayName,string,"""postcode"""
Column,postcode,displayVisible,boolean,TRUE
Column,postcode,joins,object,""
Column,received_card,displayChoicesList,object,[]
Column,received_card,displayFormat,string,""
Column,received_card,displayName,string,"""received_card"""
Column,received_card,displayVisible,boolean,TRUE
Column,received_card,joins,object,""
Column,spare_str_1,displayChoicesList,object,[]
Column,spare_str_1,displayFormat,string,""
Column,spare_str_1,displayName,string,"""spare_str_1"""
Column,spare_str_1,displayVisible,boolean,TRUE
Column,spare_str_1,joins,object,""
Column,spare_str_2,displayChoicesList,object,[]
Column,spare_str_2,displayFormat,string,""
Column,spare_str_2,displayName,string,"""spare_str_2"""
Column,spare_str_2,displayVisible,boolean,TRUE
Column,spare_str_2,joins,object,""
Column,spare_str_3,displayChoicesList,object,[]
Column,spare_str_3,displayFormat,string,""
Column,spare_str_3,displayName,string,"""spare_str_3"""
Column,spare_str_3,displayVisible,boolean,TRUE
Column,spare_str_3,joins,object,""
Column,spare_str_4,displayChoicesList,object,[]
Column,spare_str_4,displayFormat,string,""
Column,spare_str_4,displayName,string,"""spare_str_4"""
