_partition,_aspect,_key,_type,_value
Column,ben_check,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,ben_proxy,displayChoicesList,object,"[{""choice_list_name"":""ben_type"",""data_value"":""ben"",""display"":{""title"":{""text"":""beneficiary""}},""_row_num"":5},{""choice_list_name"":""ben_type"",""data_value"":""proxy"",""display"":{""title"":{""text"":""proxy""}},""_row_num"":6}]"
Column,ben_verif,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
Column,error_data,displayChoicesList,object,"[{""choice_list_name"":""ben_data"",""data_value"":""data_rcrcid"",""display"":{""title"":{""text"":""RCRC ID""}},""_row_num"":37},{""choice_list_name"":""ben_data"",""data_value"":""data_lastname"",""display"":{""title"":{""text"":""LASTNAME""}},""_row_num"":38},{""choice_list_name"":""ben_data"",""data_value"":""data_firstname"",""display"":{""title"":{""text"":""Firstname""}},""_row_num"":39},{""choice_list_name"":""ben_data"",""data_value"":""data_id_type"",""display"":{""title"":{""text"":""ID type""}},""_row_num"":40},{""choice_list_name"":""ben_data"",""data_value"":""data_id_nb"",""display"":{""title"":{""text"":""ID number""}},""_row_num"":41},{""choice_list_name"":""ben_data"",""data_value"":""data_district"",""display"":{""title"":{""text"":""District""}},""_row_num"":42},{""choice_list_name"":""ben_data"",""data_value"":""data_township"",""display"":{""title"":{""text"":""Township""}},""_row_num"":43},{""choice_list_name"":""ben_data"",""data_value"":""data_village"",""display"":{""title"":{""text"":""Village""}},""_row_num"":44},{""choice_list_name"":""ben_data"",""data_value"":""data_subvillage"",""display"":{""title"":{""text"":""Sub-village""}},""_row_num"":45}]"
Column,items,displayChoicesList,object,"[{""choice_list_name"":""items"",""data_value"":""blanket_2u"",""display"":{""title"":{""text"":""Blanket: 2 units""}},""_row_num"":47},{""choice_list_name"":""items"",""data_value"":""tarpaulin_1u"",""display"":{""title"":{""text"":""Tarpaulin: 1 unit""}},""_row_num"":48},{""choice_list_name"":""items"",""data_value"":""jerrycan_2u"",""display"":{""title"":{""text"":""Jerrycan: 2 units""}},""_row_num"":49},{""choice_list_name"":""items"",""data_value"":""stk_1u"",""display"":{""title"":{""text"":""Shelter tool kit: 1 unit""}},""_row_num"":50},{""choice_list_name"":""items"",""data_value"":""hygienekit_1u"",""display"":{""title"":{""text"":""Hygiene kit: 1 unit""}},""_row_num"":51},{""choice_list_name"":""items"",""data_value"":""kitchenset_1u"",""display"":{""title"":{""text"":""Kitchen set: 1 unit""}},""_row_num"":52},{""choice_list_name"":""items"",""data_value"":""mosquitonet_2u"",""display"":{""title"":{""text"":""Mosquito net: 2 units""}},""_row_num"":53},{""choice_list_name"":""items"",""data_value"":""tent_1u"",""display"":{""title"":{""text"":""Tent: 1 unit""}},""_row_num"":54},{""choice_list_name"":""items"",""data_value"":""envelop_10000"",""display"":{""title"":{""text"":""Envelop: 10,000 NPR""}},""_row_num"":55},{""choice_list_name"":""items"",""data_value"":""pin_1u"",""display"":{""title"":{""text"":""PIN: 1 unit""}},""_row_num"":56},{""choice_list_name"":""items"",""data_value"":""voucher_1u"",""display"":{""title"":{""text"":""Voucher: 1 unit""}},""_row_num"":57},{""choice_list_name"":""items"",""data_value"":""other"",""display"":{""title"":{""text"":""Other""}},""_row_num"":58}]"
Column,proxy_gender,displayChoicesList,object,"[{""choice_list_name"":""gender"",""data_value"":""male"",""display"":{""title"":{""text"":""Male""}},""_row_num"":19},{""choice_list_name"":""gender"",""data_value"":""female"",""display"":{""title"":{""text"":""Female""}},""_row_num"":20},{""choice_list_name"":""gender"",""data_value"":""third_gender"",""display"":{""title"":{""text"":""Third gender""}},""_row_num"":21}]"
Column,proxy_id_type,displayChoicesList,object,"[{""choice_list_name"":""id_type"",""data_value"":""nic"",""display"":{""title"":{""text"":""National identity card""}},""_row_num"":8},{""choice_list_name"":""id_type"",""data_value"":""driving"",""display"":{""title"":{""text"":""Driving licence""}},""_row_num"":9},{""choice_list_name"":""id_type"",""data_value"":""passport"",""display"":{""title"":{""text"":""Passport""}},""_row_num"":10},{""choice_list_name"":""id_type"",""data_value"":""pin"",""display"":{""title"":{""text"":""Card with personal identification number (PIN)""}},""_row_num"":11},{""choice_list_name"":""id_type"",""data_value"":""health_card"",""display"":{""title"":{""text"":""Health insurance card""}},""_row_num"":12},{""choice_list_name"":""id_type"",""data_value"":""company_id"",""display"":{""title"":{""text"":""Company ID""}},""_row_num"":13},{""choice_list_name"":""id_type"",""data_value"":""senior_id"",""display"":{""title"":{""text"":""Senior citizen ID""}},""_row_num"":14},{""choice_list_name"":""id_type"",""data_value"":""marriage"",""display"":{""title"":{""text"":""Marriage certificate""}},""_row_num"":15},{""choice_list_name"":""id_type"",""data_value"":""student_id"",""display"":{""title"":{""text"":""School/student ID""}},""_row_num"":16},{""choice_list_name"":""id_type"",""data_value"":""voter_id"",""display"":{""title"":{""text"":""Voter ID""}},""_row_num"":17}]"
Column,proxy_relatioship,displayChoicesList,object,"[{""choice_list_name"":""relationship"",""data_value"":""son"",""display"":{""title"":{""text"":""Son""}},""_row_num"":23},{""choice_list_name"":""relationship"",""data_value"":""daughter"",""display"":{""title"":{""text"":""Daughter""}},""_row_num"":24},{""choice_list_name"":""relationship"",""data_value"":""wife"",""display"":{""title"":{""text"":""Wife""}},""_row_num"":25},{""choice_list_name"":""relationship"",""data_value"":""husband"",""display"":{""title"":{""text"":""Husband""}},""_row_num"":26},{""choice_list_name"":""relationship"",""data_value"":""brother"",""display"":{""title"":{""text"":""Brother""}},""_row_num"":27},{""choice_list_name"":""relationship"",""data_value"":""sister"",""display"":{""title"":{""text"":""Sister""}},""_row_num"":28},{""choice_list_name"":""relationship"",""data_value"":""father"",""display"":{""title"":{""text"":""Father""}},""_row_num"":29},{""choice_list_name"":""relationship"",""data_value"":""mother"",""display"":{""title"":{""text"":""Mother""}},""_row_num"":30},{""choice_list_name"":""relationship"",""data_value"":""cousin"",""display"":{""title"":{""text"":""Cousin""}},""_row_num"":31},{""choice_list_name"":""relationship"",""data_value"":""uncle"",""display"":{""title"":{""text"":""Uncle""}},""_row_num"":32},{""choice_list_name"":""relationship"",""data_value"":""aunt"",""display"":{""title"":{""text"":""Aunt""}},""_row_num"":33},{""choice_list_name"":""relationship"",""data_value"":""neighbour"",""display"":{""title"":{""text"":""Neighbour""}},""_row_num"":34},{""choice_list_name"":""relationship"",""data_value"":""friend"",""display"":{""title"":{""text"":""Friend""}},""_row_num"":35}]"
Column,proxy_verif,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""Yes"",""display"":{""title"":{""text"":""Yes""}},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""No"",""display"":{""title"":{""text"":""No""}},""_row_num"":3}]"
FormType,default,FormType.formType,string,SURVEY
