_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
consent,consent,string,[]
count_children,count_children,integer,[]
count_females,count_females,integer,[]
count_males,count_males,integer,[]
count_people,count_people,integer,[]
disaster_affected,disaster_affected,string,[]
district,district,string,[]
firstname,firstname,string,[]
gender,gender,string,[]
hoh_birthdate,hoh_birthdate,date,[]
hoh_picture,hoh_picture,mimeUri,"[""hoh_picture_contentType"",""hoh_picture_uriFragment""]"
hoh_picture_contentType,contentType,mimeType,[]
hoh_picture_uriFragment,uriFragment,rowpath,[]
id_nb,id_nb,string,[]
id_type,id_type,string,[]
interviewer,interviewer,string,[]
lastname,lastname,string,[]
mobile_nb,mobile_nb,string,[]
mobile_provider,mobile_provider,string,[]
neighbourhood,neighbourhood,string,[]
site_gps,site_gps,geopoint,"[""site_gps_accuracy"",""site_gps_altitude"",""site_gps_latitude"",""site_gps_longitude""]"
site_gps_accuracy,accuracy,number,[]
site_gps_altitude,altitude,number,[]
site_gps_latitude,latitude,number,[]
site_gps_longitude,longitude,number,[]
subneighbourhood,subneighbourhood,string,[]
thanks,thanks,boolean,[]
township,township,string,[]
vulnerability1_house,vulnerability1_house,string,[]
vulnerability2_chronicle_disease,vulnerability2_chronicle_disease,integer,[]
vulnerability3_elderly,vulnerability3_elderly,integer,[]
vulnerability4_disabled,vulnerability4_disabled,integer,[]
vulnerability5_injured,vulnerability5_injured,integer,[]
vulnerability6_killed,vulnerability6_killed,integer,[]
