_partition,_aspect,_key,_type,_value
Column,confirmBarcode,displayChoicesList,object,"[{""choice_list_name"":""yes_no"",""data_value"":""yes"",""display"":{""text"":""Yes""},""_row_num"":2},{""choice_list_name"":""yes_no"",""data_value"":""no"",""display"":{""text"":""No""},""_row_num"":3}]"
Column,confirmBarcode,displayFormat,string,""
Column,confirmBarcode,displayName,string,"""confirmBarcode"""
Column,confirmBarcode,displayVisible,boolean,TRUE
Column,confirmBarcode,joins,object,""
Column,scanned_barcode,displayChoicesList,object,[]
Column,scanned_barcode,displayFormat,string,""
Column,scanned_barcode,displayName,string,"""scanned_barcode"""
Column,scanned_barcode,displayVisible,boolean,TRUE
Column,scanned_barcode,joins,object,""
Column,spare_str_1,displayChoicesList,object,[]
Column,spare_str_1,displayFormat,string,""
Column,spare_str_1,displayName,string,"""spare_str_1"""
Column,spare_str_1,displayVisible,boolean,TRUE
Column,spare_str_1,joins,object,""
Column,spare_str_2,displayChoicesList,object,[]
Column,spare_str_2,displayFormat,string,""
Column,spare_str_2,displayName,string,"""spare_str_2"""
Column,spare_str_2,displayVisible,boolean,TRUE
Column,spare_str_2,joins,object,""
Column,spare_str_3,displayChoicesList,object,[]
Column,spare_str_3,displayFormat,string,""
Column,spare_str_3,displayName,string,"""spare_str_3"""
Column,spare_str_3,displayVisible,boolean,TRUE
Column,spare_str_3,joins,object,""
Column,spare_str_4,displayChoicesList,object,[]
Column,spare_str_4,displayFormat,string,""
Column,spare_str_4,displayName,string,"""spare_str_4"""
Column,spare_str_4,displayVisible,boolean,TRUE
Column,spare_str_4,joins,object,""
Column,spare_str_5,displayChoicesList,object,[]
Column,spare_str_5,displayFormat,string,""
Column,spare_str_5,displayName,string,"""spare_str_5"""
Column,spare_str_5,displayVisible,boolean,TRUE
Column,spare_str_5,joins,object,""
Column,spare_str_6,displayChoicesList,object,[]
Column,spare_str_6,displayFormat,string,""
Column,spare_str_6,displayName,string,"""spare_str_6"""
Column,spare_str_6,displayVisible,boolean,TRUE
Column,spare_str_6,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,check_barcode
Table,default,colOrder,array,"[""scanned_barcode"",""confirmBarcode"",""spare_str_1"",""spare_str_2"",""spare_str_3"",""spare_str_4"",""spare_str_5"",""spare_str_6""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Check Barcode"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
