_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
alarm_last_thirty_days,alarm_last_thirty_days,string,[]
angle_of_inclination,angle_of_inclination,string,[]
angle_of_orientation,angle_of_orientation,string,[]
anti_theft_image,anti_theft_image,mimeUri,"[""anti_theft_image_contentType"",""anti_theft_image_uriFragment""]"
anti_theft_image_contentType,contentType,mimeType,[]
anti_theft_image_uriFragment,uriFragment,rowpath,[]
anti_theft_installed_per_inst,anti_theft_installed_per_inst,string,[]
basic_handling_training,basic_handling_training,string,[]
boxes_opened_by_authorized_person,boxes_opened_by_authorized_person,string,[]
cables_protected,cables_protected,string,[]
cables_protected_image,cables_protected_image,mimeUri,"[""cables_protected_image_contentType"",""cables_protected_image_uriFragment""]"
cables_protected_image_contentType,contentType,mimeType,[]
cables_protected_image_uriFragment,uriFragment,rowpath,[]
cce_brand,cce_brand,string,[]
cce_equipped_standard_plug,cce_equipped_standard_plug,string,[]
cce_installed_according_to_manual,cce_installed_according_to_manual,string,[]
cce_installed_image,cce_installed_image,mimeUri,"[""cce_installed_image_contentType"",""cce_installed_image_uriFragment""]"
cce_installed_image_contentType,contentType,mimeType,[]
cce_installed_image_uriFragment,uriFragment,rowpath,[]
cce_installed_location,cce_installed_location,string,[]
cce_model_pqs_code,cce_model_pqs_code,string,[]
cce_operating_correctly,cce_operating_correctly,string,[]
cce_operating_image,cce_operating_image,mimeUri,"[""cce_operating_image_contentType"",""cce_operating_image_uriFragment""]"
cce_operating_image_contentType,contentType,mimeType,[]
cce_operating_image_uriFragment,uriFragment,rowpath,[]
cce_type,cce_type,string,[]
cleaning_equipment_available,cleaning_equipment_available,string,[]
country,country,string,[]
data_plate_image,data_plate_image,mimeUri,"[""data_plate_image_contentType"",""data_plate_image_uriFragment""]"
data_plate_image_contentType,contentType,mimeType,[]
data_plate_image_uriFragment,uriFragment,rowpath,[]
date,date,date,[]
delivery_date,delivery_date,date,[]
district,district,string,[]
equipment_had_data_plate,equipment_had_data_plate,string,[]
evaluator_name,evaluator_name,string,[]
faulty_component,faulty_component,string,[]
faulty_component_image,faulty_component_image,mimeUri,"[""faulty_component_image_contentType"",""faulty_component_image_uriFragment""]"
faulty_component_image_contentType,contentType,mimeType,[]
faulty_component_image_uriFragment,uriFragment,rowpath,[]
func_test_image,func_test_image,mimeUri,"[""func_test_image_contentType"",""func_test_image_uriFragment""]"
func_test_image_contentType,contentType,mimeType,[]
func_test_image_uriFragment,uriFragment,rowpath,[]
gps_coordinates,gps_coordinates,geopoint,"[""gps_coordinates_accuracy"",""gps_coordinates_altitude"",""gps_coordinates_latitude"",""gps_coordinates_longitude""]"
gps_coordinates_accuracy,accuracy,number,[]
gps_coordinates_altitude,altitude,number,[]
gps_coordinates_latitude,latitude,number,[]
gps_coordinates_longitude,longitude,number,[]
grounding_image,grounding_image,mimeUri,"[""grounding_image_contentType"",""grounding_image_uriFragment""]"
grounding_image_contentType,contentType,mimeType,[]
grounding_image_uriFragment,uriFragment,rowpath,[]
have_copy_of_func_test,have_copy_of_func_test,string,[]
