_element_key,_element_name,_element_type,_list_child_element_keys
BCG_0_11_HealthCenter,BCG_0_11_HealthCenter,integer,[]
BCG_0_11_Outreach,BCG_0_11_Outreach,integer,[]
BCG_12_23_HealthCenter,BCG_12_23_HealthCenter,integer,[]
BCG_12_23_Outreach,BCG_12_23_Outreach,integer,[]
BCG_HC_NR_checkbox1,BCG_HC_NR_checkbox1,array,"[""BCG_HC_NR_checkbox1_items""]"
BCG_HC_NR_checkbox1_items,items,string,[]
BCG_HC_NR_checkbox2,BCG_HC_NR_checkbox2,array,"[""BCG_HC_NR_checkbox2_items""]"
BCG_HC_NR_checkbox2_items,items,string,[]
BCG_OV_NR_checkbox,BCG_OV_NR_checkbox,array,"[""BCG_OV_NR_checkbox_items""]"
BCG_OV_NR_checkbox_items,items,string,[]
BCG_O_NR_checkbox1,BCG_O_NR_checkbox1,array,"[""BCG_O_NR_checkbox1_items""]"
BCG_O_NR_checkbox1_items,items,string,[]
BCG_O_NR_checkbox2,BCG_O_NR_checkbox2,array,"[""BCG_O_NR_checkbox2_items""]"
BCG_O_NR_checkbox2_items,items,string,[]
BCG_OpenedVials,BCG_OpenedVials,integer,[]
Measles_0_11_HealthCenter,Measles_0_11_HealthCenter,integer,[]
Measles_0_11_Outreach,Measles_0_11_Outreach,integer,[]
Measles_12_23_HealthCenter,Measles_12_23_HealthCenter,integer,[]
Measles_12_23_Outreach,Measles_12_23_Outreach,integer,[]
Measles_HC_NR_checkbox1,Measles_HC_NR_checkbox1,array,"[""Measles_HC_NR_checkbox1_items""]"
Measles_HC_NR_checkbox1_items,items,string,[]
Measles_HC_NR_checkbox2,Measles_HC_NR_checkbox2,array,"[""Measles_HC_NR_checkbox2_items""]"
Measles_HC_NR_checkbox2_items,items,string,[]
Measles_OV_NR_checkbox,Measles_OV_NR_checkbox,array,"[""Measles_OV_NR_checkbox_items""]"
Measles_OV_NR_checkbox_items,items,string,[]
Measles_O_NR_checkbox1,Measles_O_NR_checkbox1,array,"[""Measles_O_NR_checkbox1_items""]"
Measles_O_NR_checkbox1_items,items,string,[]
Measles_O_NR_checkbox2,Measles_O_NR_checkbox2,array,"[""Measles_O_NR_checkbox2_items""]"
