_partition,_aspect,_key,_type,_value
Column,BCG_0_11_HealthCenter,displayName,object,"""BCG_0_11_HealthCenter"""
Column,BCG_0_11_Outreach,displayName,object,"""BCG_0_11_Outreach"""
Column,BCG_12_23_HealthCenter,displayName,object,"""BCG_12_23_HealthCenter"""
Column,BCG_12_23_Outreach,displayName,object,"""BCG_12_23_Outreach"""
Column,BCG_HC_NR_checkbox1,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,BCG_HC_NR_checkbox1,displayName,object,"""BCG_HC_NR_checkbox1"""
Column,BCG_HC_NR_checkbox2,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,BCG_HC_NR_checkbox2,displayName,object,"""BCG_HC_NR_checkbox2"""
Column,BCG_OV_NR_checkbox,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,BCG_OV_NR_checkbox,displayName,object,"""BCG_OV_NR_checkbox"""
Column,BCG_O_NR_checkbox1,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,BCG_O_NR_checkbox1,displayName,object,"""BCG_O_NR_checkbox1"""
Column,BCG_O_NR_checkbox2,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,BCG_O_NR_checkbox2,displayName,object,"""BCG_O_NR_checkbox2"""
Column,BCG_OpenedVials,displayName,object,"""BCG_OpenedVials"""
Column,Measles_0_11_HealthCenter,displayName,object,"""Measles_0_11_HealthCenter"""
Column,Measles_0_11_Outreach,displayName,object,"""Measles_0_11_Outreach"""
Column,Measles_12_23_HealthCenter,displayName,object,"""Measles_12_23_HealthCenter"""
Column,Measles_12_23_Outreach,displayName,object,"""Measles_12_23_Outreach"""
Column,Measles_HC_NR_checkbox1,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,Measles_HC_NR_checkbox1,displayName,object,"""Measles_HC_NR_checkbox1"""
Column,Measles_HC_NR_checkbox2,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,Measles_HC_NR_checkbox2,displayName,object,"""Measles_HC_NR_checkbox2"""
Column,Measles_OV_NR_checkbox,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,Measles_OV_NR_checkbox,displayName,object,"""Measles_OV_NR_checkbox"""
Column,Measles_O_NR_checkbox1,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,Measles_O_NR_checkbox1,displayName,object,"""Measles_O_NR_checkbox1"""
Column,Measles_O_NR_checkbox2,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,Measles_O_NR_checkbox2,displayName,object,"""Measles_O_NR_checkbox2"""
Column,Measles_OpenedVials,displayName,object,"""Measles_OpenedVials"""
Column,P1_HC_NR_checkbox1,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
Column,P1_HC_NR_checkbox1,displayName,object,"""P1_HC_NR_checkbox1"""
Column,P1_HC_NR_checkbox2,displayChoicesList,object,"[{""choice_list_name"":""one_choice"",""data_value"":""NR"",""display"":{""text"":""NR""},""_row_num"":30}]"
