_element_key,_element_name,_element_type,_list_child_element_keys
cold_room_id,cold_room_id,string,[]
date_serviced,date_serviced,date,[]
notes,notes,string,[]
other_maintenance,other_maintenance,string,[]
other_repair,other_repair,string,[]
other_spare_parts,other_spare_parts,string,[]
preventative_comments,preventative_comments,string,[]
repair_activities,repair_activities,string,[]
serviced_by,serviced_by,string,[]
spare_parts,spare_parts,array,"[""spare_parts_items""]"
spare_parts_items,items,string,[]
technician_name,technician_name,string,[]
technician_phone,technician_phone,string,[]
total_hrs_of_operation_unit1,total_hrs_of_operation_unit1,integer,[]
total_hrs_of_operation_unit2,total_hrs_of_operation_unit2,integer,[]
type_of_maintenance,type_of_maintenance,array,"[""type_of_maintenance_items""]"
type_of_maintenance_items,items,string,[]
type_of_preventative_maintenance,type_of_preventative_maintenance,array,"[""type_of_preventative_maintenance_items""]"
type_of_preventative_maintenance_items,items,string,[]
type_of_repair,type_of_repair,array,"[""type_of_repair_items""]"
type_of_repair_items,items,string,[]
