_partition,_aspect,_key,_type,_value
Column,addtl_spare_parts,displayName,object,"{""text"":{""default"":""Enter additional spare parts"",""es"":""Entrar adicional piezas de repuesto""}}"
Column,cold_room_id,displayName,object,"{""text"":{""default"":""Cold Room ID"",""es"":""ID de Cuarto Frio""}}"
Column,date_serviced,displayName,object,"{""text"":{""default"":""Date Serviced"",""es"":""Fecha de Servicio""}}"
Column,maintenance_log_image,displayName,object,"{""text"":{""default"":""Image"",""es"":""Imagen""}}"
Column,next_date_serviced,displayName,object,"{""text"":{""default"":""Next Date Serviced"",""es"":""Próxima Fecha de Servicio""}}"
Column,notes,displayName,object,"{""text"":{""default"":""Notes"",""es"":""Notas""}}"
Column,serviced_by,displayChoicesList,object,"[{""choice_list_name"":""serviced_by_type"",""data_value"":""warranty_service_provider"",""display"":{""title"":{""text"":{""default"":""Warranty/Service Provider"",""es"":""Garantía / Proveedor de Servicios""}}},""_row_num"":6},{""choice_list_name"":""serviced_by_type"",""data_value"":""cce_technician"",""display"":{""title"":{""text"":{""default"":""CCE Technician"",""es"":""CCE Técnico""}}},""_row_num"":7},{""choice_list_name"":""serviced_by_type"",""data_value"":""facility_staff"",""display"":{""title"":{""text"":{""default"":""Facility Staff"",""es"":""Personal de las Facilidades""}}},""_row_num"":8}]"
Column,serviced_by,displayName,object,"{""text"":{""default"":""Serviced By"",""es"":""Atendido por""}}"
Column,spare_parts,displayChoicesList,object,"[{""choice_list_name"":""common_spare_parts"",""data_value"":""charging_cylinder"",""display"":{""title"":{""text"":{""default"":""Charging Cylinder"",""es"":""Cilindro de carga""}}},""_row_num"":10},{""choice_list_name"":""common_spare_parts"",""data_value"":""condenser_fan"",""display"":{""title"":{""text"":{""default"":""Condenser Fan"",""es"":""Ventilador Condensador""}}},""_row_num"":11},{""choice_list_name"":""common_spare_parts"",""data_value"":""door_gasket"",""display"":{""title"":{""text"":{""default"":""Door Gasket"",""es"":""La Junta de la Puerta""}}},""_row_num"":12},{""choice_list_name"":""common_spare_parts"",""data_value"":""electric_compressor"",""display"":{""title"":{""text"":{""default"":""Electric Compressor"",""es"":""Compresor Eléctrico""}}},""_row_num"":13},{""choice_list_name"":""common_spare_parts"",""data_value"":""fridge_tag"",""display"":{""title"":{""text"":{""default"":""Fridge Tag"",""es"":""Etiqueta Frigorífico""}}},""_row_num"":14},{""choice_list_name"":""common_spare_parts"",""data_value"":""relay"",""display"":{""title"":{""text"":{""default"":""Relay"",""es"":""Relé""}}},""_row_num"":15},{""choice_list_name"":""common_spare_parts"",""data_value"":""rotary_fan"",""display"":{""title"":{""text"":{""default"":""Rotary Fan"",""es"":""Ventilador Rotatorio""}}},""_row_num"":16},{""choice_list_name"":""common_spare_parts"",""data_value"":""solar_compressor"",""display"":{""title"":{""text"":{""default"":""Solar Compressor"",""es"":""Compresor Solar""}}},""_row_num"":17},{""choice_list_name"":""common_spare_parts"",""data_value"":""thermostat"",""display"":{""title"":{""text"":{""default"":""Thermostat"",""es"":""Termostato""}}},""_row_num"":18},{""choice_list_name"":""common_spare_parts"",""data_value"":""fridge_dryer"",""display"":{""title"":{""text"":{""default"":""Fridge Dryer"",""es"":""Secador de Refrigerador""}}},""_row_num"":19},{""choice_list_name"":""common_spare_parts"",""data_value"":""electronic_control_unit"",""display"":{""title"":{""text"":{""default"":""Electronic Control Unit"",""es"":""Unidad de Control Electrónico""}}},""_row_num"":20},{""choice_list_name"":""common_spare_parts"",""data_value"":""hinges"",""display"":{""title"":{""text"":{""default"":""Hinges"",""es"":""Bisagra""}}},""_row_num"":21}]"
Column,spare_parts,displayName,object,"{""text"":{""default"":""Spare Parts"",""es"":""Piezas de Repuesto""}}"
Column,technician_name,displayName,object,"{""text"":{""default"":""Technician Name"",""es"":""Nombre del técnico""}}"
Column,type_of_maintenance,displayChoicesList,object,"[{""choice_list_name"":""maint_types"",""data_value"":""repair"",""display"":{""title"":{""text"":{""default"":""Repair"",""es"":""Reparar""}}},""_row_num"":2},{""choice_list_name"":""maint_types"",""data_value"":""preventative"",""display"":{""title"":{""text"":{""default"":""Preventative"",""es"":""Preventivo""}}},""_row_num"":3},{""choice_list_name"":""maint_types"",""data_value"":""other"",""display"":{""title"":{""text"":{""default"":""Other"",""es"":""Otro""}}},""_row_num"":4}]"
Column,type_of_maintenance,displayName,object,"{""text"":{""default"":""Type of Maintenance Performed"",""es"":""Tipo de mantenimiento realizado""}}"
Column,type_of_preventative_maintenance,displayChoicesList,object,"[{""choice_list_name"":""preventative_maint_types"",""data_value"":""clean_solar_panels"",""display"":{""title"":{""text"":""Clean solar panels""}},""_row_num"":25},{""choice_list_name"":""preventative_maint_types"",""data_value"":""clean_coils"",""display"":{""title"":{""text"":""Clean coils""}},""_row_num"":26},{""choice_list_name"":""preventative_maint_types"",""data_value"":""need_data"",""display"":{""title"":{""text"":{""default"":""Need Data"",""es"":""Necesita Datos""}}},""_row_num"":27}]"
Column,type_of_preventative_maintenance,displayName,object,"{""text"":{""default"":""Type of Preventative Maintenance"",""es"":""Tipo de Mantenimiento Preventivo""}}"
Column,type_of_repair,displayChoicesList,object,"[{""choice_list_name"":""repair_types"",""data_value"":""need_data"",""display"":{""title"":{""text"":{""default"":""Need Data"",""es"":""Necesita Datos""}}},""_row_num"":23}]"
Column,type_of_repair,displayName,object,"{""text"":{""default"":""Type of Repair"",""es"":""Tipo de Reparación""}}"
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,wrong_form
Table,default,defaultViewType,string,LIST
Table,default,detailViewFileName,string,config/tables/cold_room_maintenance_logs/html/cold_room_maintenance_logs_detail.html
Table,default,displayName,object,"{""text"":{""default"":""Cold Room Maintenance Logs"",""es"":""Registro de Servicio de Cuartos Frios""}}"
Table,default,listViewFileName,string,config/tables/cold_room_maintenance_logs/html/cold_room_maintenance_logs_list.html
Table,security,defaultAccessOnCreation,string,HIDDEN
Table,security,unverifiedUserCanCreate,boolean,false
