_element_key,_element_name,_element_type,_list_child_element_keys
backup_generator,backup_generator,string,[]
backup_generator_functional_status,backup_generator_functional_status,string,[]
dimensions,dimensions,string,[]
facility_row_id,facility_row_id,string,[]
functional_status,functional_status,string,[]
gross_volume,gross_volume,integer,[]
maintenance_priority,maintenance_priority,string,[]
manufacturer,manufacturer,string,[]
model,model,string,[]
net_volume,net_volume,integer,[]
notes,notes,string,[]
reason_not_working,reason_not_working,array,"[""reason_not_working_items""]"
reason_not_working_items,items,string,[]
serial_number,serial_number,string,[]
storage_temperature,storage_temperature,integer,[]
temperature_monitoring_device,temperature_monitoring_device,string,[]
temperature_monitoring_device_functional_status,temperature_monitoring_device_functional_status,string,[]
temperature_monitoring_device_type,temperature_monitoring_device_type,string,[]
tracking_id,tracking_id,string,[]
type,type,string,[]
utilization,utilization,string,[]
year,year,integer,[]
