_element_key,_element_name,_element_type,_list_child_element_keys
activity_date,activity_date,date,[]
country_of_intervention,country_of_intervention,string,[]
department,department,string,[]
donor,donor,string,[]
fem_0_5,fem_0_5,integer,[]
fem_12_17,fem_12_17,integer,[]
fem_18_29,fem_18_29,integer,[]
fem_30_59,fem_30_59,integer,[]
fem_60,fem_60,integer,[]
fem_6_11,fem_6_11,integer,[]
masc_0_5,masc_0_5,integer,[]
masc_12_17,masc_12_17,integer,[]
masc_18_29,masc_18_29,integer,[]
masc_30_59,masc_30_59,integer,[]
masc_60,masc_60,integer,[]
masc_6_11,masc_6_11,integer,[]
pam,pam,string,[]
