_element_key,_element_name,_element_type,_list_child_element_keys
address,address,string,[]
consent_signature,consent_signature,mimeUri,"[""consent_signature_contentType"",""consent_signature_uriFragment""]"
consent_signature_contentType,contentType,mimeType,[]
consent_signature_uriFragment,uriFragment,rowpath,[]
date_screened,date_screened,undefined,[]
delivery_site,delivery_site,string,[]
disabled_reason,disabled_reason,string,[]
hh_size,hh_size,integer,[]
is_active,is_active,undefined,[]
is_override,is_override,undefined,[]
location,location,geopoint,"[""location_accuracy"",""location_altitude"",""location_latitude"",""location_longitude""]"
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
mobile_provider,mobile_provider,string,[]
telephone,telephone,string,[]
tent_caravan,tent_caravan,string,[]
