_element_key,_element_name,_element_type,_list_child_element_keys
col0,col0,myothertype:integer,[]
col1,col1,boolean,[]
col12,col12,array,"[""col12_items""]"
col12_items,items,integer,[]
col14,col14,array(400),"[""col14_items""]"
col14_items,items,string,[]
col1a,col1a,geolist:array(500),"[""col1a_items""]"
col1a_items,items,geopoint,"[""col1a_items_accuracy"",""col1a_items_altitude"",""col1a_items_latitude"",""col1a_items_longitude""]"
col1a_items_accuracy,accuracy,number,[]
col1a_items_altitude,altitude,number,[]
col1a_items_latitude,latitude,number,[]
col1a_items_longitude,longitude,number,[]
col2,col2,integer,[]
col3,col3,number,[]
col4,col4,string,[]
col5,col5,string(500),[]
col6,col6,configpath,[]
col7,col7,rowpath,[]
col8,col8,geopoint,"[""col8_accuracy"",""col8_altitude"",""col8_latitude"",""col8_longitude""]"
col8_accuracy,accuracy,number,[]
col8_altitude,altitude,number,[]
col8_latitude,latitude,number,[]
col8_longitude,longitude,number,[]
col9,col9,mytype,[]
