_element_key,_element_name,_element_type,_list_child_element_keys
authorization_description,authorization_description,string,[]
authorization_id,authorization_id,string,[]
authorization_name,authorization_name,string,[]
authorization_type,authorization_type,string,[]
beneficiary_entity_id,beneficiary_entity_id,string,[]
custom_delivery_form_id,custom_delivery_form_id,string,[]
custom_delivery_row_id,custom_delivery_row_id,string,[]
date_created,date_created,string,[]
entitlement_id,entitlement_id,string,[]
is_override,is_override,string,[]
item_pack_description,item_pack_description,string,[]
item_pack_id,item_pack_id,string,[]
item_pack_name,item_pack_name,string,[]
member_id,member_id,string,[]
