_element_key,_element_name,_element_type,_list_child_element_keys
authorization_id,authorization_id,string,[]
authorization_name,authorization_name,string,[]
beneficiary_code,beneficiary_code,string,[]
date_time,date_time,dateTime,[]
distribution_id,distribution_id,string,[]
distribution_row_id,distribution_row_id,string,[]
distribution_site,distribution_site,string,[]
distributor,distributor,string,[]
is_distributed,is_distributed,string,[]
is_override,is_override,boolean,[]
item_pack_barcode,item_pack_barcode,string,[]
item_pack_id,item_pack_id,string,[]
item_pack_name,item_pack_name,string,[]
