_element_key,_element_name,_element_type,_list_child_element_keys
assigned_item_pack_code,assigned_item_pack_code,string,[]
authorization_description,authorization_description,string,[]
authorization_id,authorization_id,string,[]
authorization_name,authorization_name,string,[]
authorization_type,authorization_type,string,[]
beneficiary_entity_id,beneficiary_entity_id,string,[]
date_created,date_created,string,[]
individual_id,individual_id,string,[]
is_override,is_override,string,[]
item_pack_description,item_pack_description,string,[]
item_pack_id,item_pack_id,string,[]
item_pack_name,item_pack_name,string,[]
status,status,string,[]
status_reason,status_reason,string,[]
