_element_key,_element_name,_element_type,_list_child_element_keys
age,age,string,[]
birth_date,birth_date,date,[]
custom_beneficiary_entity_row_id,custom_beneficiary_entity_row_id,string,[]
email,email,string,[]
first_last_name,first_last_name,string,[]
first_name,first_name,string,[]
gender,gender,string,[]
id_number,id_number,string,[]
id_type,id_type,string,[]
is_head_of_household,is_head_of_household,string,[]
last_name,last_name,string,[]
picture,picture,mimeUri,"[""picture_contentType"",""picture_uriFragment""]"
picture_contentType,contentType,mimeType,[]
picture_uriFragment,uriFragment,rowpath,[]
vulnerability,vulnerability,array,"[""vulnerability_items""]"
vulnerability_items,items,string,[]
