_element_key,_element_name,_element_type,_list_child_element_keys
crop_fertilizer,crop_fertilizer,array,"[""crop_fertilizer_items""]"
crop_fertilizer_items,items,string,[]
crop_harvest,crop_harvest,string,[]
crop_name,crop_name,string,[]
crop_pesticides,crop_pesticides,array,"[""crop_pesticides_items""]"
crop_pesticides_items,items,string,[]
farm_city,farm_city,string,[]
farm_location,farm_location,geopoint,"[""farm_location_accuracy"",""farm_location_altitude"",""farm_location_latitude"",""farm_location_longitude""]"
farm_location_accuracy,accuracy,number,[]
farm_location_altitude,altitude,number,[]
farm_location_latitude,latitude,number,[]
farm_location_longitude,longitude,number,[]
farm_name,farm_name,string,[]
farm_num_employee,farm_num_employee,integer,[]
farm_revenue,farm_revenue,number,[]
farm_state,farm_state,string,[]
farm_uuid,farm_uuid,assign,[]
field_name,field_name,string,[]
field_uuid,field_uuid,assign,[]
num_crop,num_crop,integer,[]
