_element_key,_element_name,_element_type,_list_child_element_keys
Rel_OtherEnd,Rel_OtherEnd,string,[]
age,age,integer,[]
agree_screening,agree_screening,string,[]
art,art,string,[]
art_curr,art_curr,string,[]
art_duration,art_duration,string,[]
azt,azt,string,[]
baby_alive,baby_alive,string,[]
baby_alive_now,baby_alive_now,string,[]
baby_weight,baby_weight,number,[]
baby_weight_now,baby_weight_now,number,[]
bf_after_deliv,bf_after_deliv,string,[]
bf_duration,bf_duration,integer,[]
c_section,c_section,string,[]
ccc,ccc,string,[]
cd4_count,cd4_count,integer,[]
cd4_known,cd4_known,string,[]
child_curr_meds,child_curr_meds,string,[]
child_meds,child_meds,string,[]
child_missed_doses,child_missed_doses,string,[]
client_consent,client_consent,string,[]
client_id,client_id,integer,[]
clinic_proximity,clinic_proximity,string,[]
comments,comments,string,[]
complications,complications,array,"[""complications_items""]"
complications_items,items,string,[]
complications_other,complications_other,string,[]
curr_relationship,curr_relationship,string,[]
date,date,date,[]
delivery_assisted,delivery_assisted,string,[]
delivery_assisted_other,delivery_assisted_other,string,[]
delivery_date,delivery_date,date,[]
delivery_location,delivery_location,string,[]
delivery_location_other,delivery_location_other,string,[]
education_level,education_level,string,[]
employment,employment,array,"[""employment_items""]"
employment_items,items,string,[]
employment_other,employment_other,string,[]
ethnic_group,ethnic_group,string,[]
ethnic_group_other,ethnic_group_other,string,[]
gestational_age,gestational_age,integer,[]
hiv_tested,hiv_tested,string,[]
induced_labor,induced_labor,string,[]
infant_test,infant_test,string,[]
interviewer_id,interviewer_id,integer,[]
interviewer_init,interviewer_init,string,[]
labor_meds,labor_meds,string,[]
living_children,living_children,integer,[]
meds_after_deliv,meds_after_deliv,string,[]
partner_age,partner_age,integer,[]
pregnant,pregnant,string,[]
prescr_meds,prescr_meds,string,[]
randomization,randomization,string,[]
refusal_reasons,refusal_reasons,array,"[""refusal_reasons_items""]"
refusal_reasons_items,items,string,[]
refusal_reasons_other,refusal_reasons_other,string,[]
rel_change,rel_change,array,"[""rel_change_items""]"
rel_change_items,items,string,[]
rel_change_other,rel_change_other,string,[]
rel_end_reason,rel_end_reason,array,"[""rel_end_reason_items""]"
rel_end_reason_items,items,string,[]
rel_end_study,rel_end_study,string,[]
religion,religion,string,[]
religion_other,religion_other,string,[]
still_bf,still_bf,string,[]
test_location,test_location,array,"[""test_location_items""]"
test_location_items,items,string,[]
test_location_other,test_location_other,string,[]
test_result,test_result,string,[]
times_pregnant,times_pregnant,integer,[]
