_partition,_aspect,_key,_type,_value
Column,Rel_OtherEnd,displayChoicesList,object,""
Column,Rel_OtherEnd,displayFormat,string,""
Column,Rel_OtherEnd,displayName,string,"""Rel_OtherEnd"""
Column,Rel_OtherEnd,displayVisible,boolean,TRUE
Column,Rel_OtherEnd,joins,object,""
Column,age,displayChoicesList,object,""
Column,age,displayFormat,string,""
Column,age,displayName,string,"""age"""
Column,age,displayVisible,boolean,TRUE
Column,age,joins,object,""
Column,agree_screening,displayChoicesList,object,""
Column,agree_screening,displayFormat,string,""
Column,agree_screening,displayName,string,"""agree_screening"""
Column,agree_screening,displayVisible,boolean,TRUE
Column,agree_screening,joins,object,""
Column,art,displayChoicesList,object,""
Column,art,displayFormat,string,""
Column,art,displayName,string,"""art"""
Column,art,displayVisible,boolean,TRUE
Column,art,joins,object,""
Column,art_curr,displayChoicesList,object,""
Column,art_curr,displayFormat,string,""
Column,art_curr,displayName,string,"""art_curr"""
Column,art_curr,displayVisible,boolean,TRUE
Column,art_curr,joins,object,""
Column,art_duration,displayChoicesList,object,""
Column,art_duration,displayFormat,string,""
Column,art_duration,displayName,string,"""art_duration"""
Column,art_duration,displayVisible,boolean,TRUE
Column,art_duration,joins,object,""
Column,azt,displayChoicesList,object,""
Column,azt,displayFormat,string,""
Column,azt,displayName,string,"""azt"""
Column,azt,displayVisible,boolean,TRUE
Column,azt,joins,object,""
Column,baby_alive,displayChoicesList,object,""
Column,baby_alive,displayFormat,string,""
Column,baby_alive,displayName,string,"""baby_alive"""
Column,baby_alive,displayVisible,boolean,TRUE
Column,baby_alive,joins,object,""
Column,baby_alive_now,displayChoicesList,object,""
Column,baby_alive_now,displayFormat,string,""
Column,baby_alive_now,displayName,string,"""baby_alive_now"""
Column,baby_alive_now,displayVisible,boolean,TRUE
Column,baby_alive_now,joins,object,""
Column,baby_weight,displayChoicesList,object,""
Column,baby_weight,displayFormat,string,""
Column,baby_weight,displayName,string,"""baby_weight"""
Column,baby_weight,displayVisible,boolean,TRUE
Column,baby_weight,joins,object,""
Column,baby_weight_now,displayChoicesList,object,""
Column,baby_weight_now,displayFormat,string,""
Column,baby_weight_now,displayName,string,"""baby_weight_now"""
Column,baby_weight_now,displayVisible,boolean,TRUE
Column,baby_weight_now,joins,object,""
Column,bf_after_deliv,displayChoicesList,object,""
Column,bf_after_deliv,displayFormat,string,""
Column,bf_after_deliv,displayName,string,"""bf_after_deliv"""
Column,bf_after_deliv,displayVisible,boolean,TRUE
Column,bf_after_deliv,joins,object,""
Column,bf_duration,displayChoicesList,object,""
Column,bf_duration,displayFormat,string,""
Column,bf_duration,displayName,string,"""bf_duration"""
Column,bf_duration,displayVisible,boolean,TRUE
Column,bf_duration,joins,object,""
Column,c_section,displayChoicesList,object,""
Column,c_section,displayFormat,string,""
Column,c_section,displayName,string,"""c_section"""
Column,c_section,displayVisible,boolean,TRUE
Column,c_section,joins,object,""
Column,ccc,displayChoicesList,object,""
Column,ccc,displayFormat,string,""
Column,ccc,displayName,string,"""ccc"""
Column,ccc,displayVisible,boolean,TRUE
Column,ccc,joins,object,""
Column,cd4_count,displayChoicesList,object,""
Column,cd4_count,displayFormat,string,""
Column,cd4_count,displayName,string,"""cd4_count"""
Column,cd4_count,displayVisible,boolean,TRUE
Column,cd4_count,joins,object,""
Column,cd4_known,displayChoicesList,object,""
Column,cd4_known,displayFormat,string,""
Column,cd4_known,displayName,string,"""cd4_known"""
Column,cd4_known,displayVisible,boolean,TRUE
Column,cd4_known,joins,object,""
Column,child_curr_meds,displayChoicesList,object,""
Column,child_curr_meds,displayFormat,string,""
Column,child_curr_meds,displayName,string,"""child_curr_meds"""
Column,child_curr_meds,displayVisible,boolean,TRUE
Column,child_curr_meds,joins,object,""
Column,child_meds,displayChoicesList,object,""
Column,child_meds,displayFormat,string,""
Column,child_meds,displayName,string,"""child_meds"""
Column,child_meds,displayVisible,boolean,TRUE
Column,child_meds,joins,object,""
Column,child_missed_doses,displayChoicesList,object,""
Column,child_missed_doses,displayFormat,string,""
Column,child_missed_doses,displayName,string,"""child_missed_doses"""
Column,child_missed_doses,displayVisible,boolean,TRUE
Column,child_missed_doses,joins,object,""
Column,client_consent,displayChoicesList,object,""
Column,client_consent,displayFormat,string,""
Column,client_consent,displayName,string,"""client_consent"""
Column,client_consent,displayVisible,boolean,TRUE
Column,client_consent,joins,object,""
Column,client_id,displayChoicesList,object,""
Column,client_id,displayFormat,string,""
Column,client_id,displayName,string,"""client_id"""
Column,client_id,displayVisible,boolean,TRUE
Column,client_id,joins,object,""
Column,clinic_proximity,displayChoicesList,object,""
Column,clinic_proximity,displayFormat,string,""
Column,clinic_proximity,displayName,string,"""clinic_proximity"""
Column,clinic_proximity,displayVisible,boolean,TRUE
Column,clinic_proximity,joins,object,""
Column,comments,displayChoicesList,object,""
Column,comments,displayFormat,string,""
Column,comments,displayName,string,"""comments"""
Column,comments,displayVisible,boolean,TRUE
Column,comments,joins,object,""
Column,complications,displayChoicesList,object,""
Column,complications,displayFormat,string,""
Column,complications,displayName,string,"""complications"""
Column,complications,displayVisible,boolean,TRUE
Column,complications,joins,object,""
Column,complications_items,displayChoicesList,object,""
Column,complications_items,displayFormat,string,""
Column,complications_items,displayName,string,"""items"""
Column,complications_items,displayVisible,boolean,TRUE
Column,complications_items,joins,object,""
Column,complications_other,displayChoicesList,object,""
Column,complications_other,displayFormat,string,""
Column,complications_other,displayName,string,"""complications_other"""
