_element_key,_element_name,_element_type,_list_child_element_keys
FOL_B_AnimID,FOL_B_AnimID,string,[]
FOL_CL_community_id,FOL_CL_community_id,string,[]
FOL_am_observer1,FOL_am_observer1,string,[]
FOL_am_observer2,FOL_am_observer2,string,[]
FOL_date,FOL_date,string,[]
FOL_day,FOL_day,integer,[]
FOL_distance_traveled,FOL_distance_traveled,integer,[]
FOL_duration,FOL_duration,integer,[]
FOL_flag_begin_in_nest,FOL_flag_begin_in_nest,string,[]
FOL_flag_end_in_nest,FOL_flag_end_in_nest,string,[]
FOL_month,FOL_month,integer,[]
FOL_pm_observer1,FOL_pm_observer1,string,[]
FOL_pm_observer2,FOL_pm_observer2,string,[]
FOL_study_code1,FOL_study_code1,string,[]
FOL_study_code2,FOL_study_code2,string,[]
FOL_time_begin,FOL_time_begin,string,[]
FOL_time_end,FOL_time_end,string,[]
FOL_year,FOL_year,integer,[]
