_element_key,_element_name,_element_type,_list_child_element_keys
FA_B_arr_AnimID,FA_B_arr_AnimID,string,[]
FA_FOL_B_focal_AnimID,FA_FOL_B_focal_AnimID,string,[]
FA_FOL_date,FA_FOL_date,string,[]
FA_closest_to_focal,FA_closest_to_focal,integer,[]
FA_duration_of_obs,FA_duration_of_obs,integer,[]
FA_seq_num,FA_seq_num,integer,[]
FA_time_end,FA_time_end,string,[]
FA_time_start,FA_time_start,string,[]
FA_type_of_certainty,FA_type_of_certainty,integer,[]
FA_type_of_cycle,FA_type_of_cycle,string,[]
FA_type_of_nesting,FA_type_of_nesting,integer,[]
FA_within_five_meters,FA_within_five_meters,integer,[]
