_partition,_aspect,_key,_type,_value
Column,FA_B_arr_AnimID,displayChoicesList,object,""
Column,FA_B_arr_AnimID,displayFormat,string,""
Column,FA_B_arr_AnimID,displayName,string,"""FA_B_arr_AnimID"""
Column,FA_B_arr_AnimID,displayVisible,boolean,true
Column,FA_B_arr_AnimID,joins,object,""
Column,FA_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,FA_FOL_B_focal_AnimID,displayFormat,string,""
Column,FA_FOL_B_focal_AnimID,displayName,string,"""FA_FOL_B_focal_AnimID"""
Column,FA_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,FA_FOL_B_focal_AnimID,joins,object,""
Column,FA_FOL_date,displayChoicesList,object,""
Column,FA_FOL_date,displayFormat,string,""
Column,FA_FOL_date,displayName,string,"""FA_FOL_date"""
Column,FA_FOL_date,displayVisible,boolean,true
Column,FA_FOL_date,joins,object,""
Column,FA_closest_to_focal,displayChoicesList,object,""
Column,FA_closest_to_focal,displayFormat,string,""
Column,FA_closest_to_focal,displayName,string,"""FA_closest_to_focal"""
Column,FA_closest_to_focal,displayVisible,boolean,true
Column,FA_closest_to_focal,joins,object,""
Column,FA_duration_of_obs,displayChoicesList,object,""
Column,FA_duration_of_obs,displayFormat,string,""
Column,FA_duration_of_obs,displayName,string,"""FA_duration_of_obs"""
Column,FA_duration_of_obs,displayVisible,boolean,true
Column,FA_duration_of_obs,joins,object,""
Column,FA_seq_num,displayChoicesList,object,""
Column,FA_seq_num,displayFormat,string,""
Column,FA_seq_num,displayName,string,"""FA_seq_num"""
Column,FA_seq_num,displayVisible,boolean,true
Column,FA_seq_num,joins,object,""
Column,FA_time_end,displayChoicesList,object,""
Column,FA_time_end,displayFormat,string,""
Column,FA_time_end,displayName,string,"""FA_time_end"""
Column,FA_time_end,displayVisible,boolean,true
Column,FA_time_end,joins,object,""
Column,FA_time_start,displayChoicesList,object,""
Column,FA_time_start,displayFormat,string,""
Column,FA_time_start,displayName,string,"""FA_time_start"""
Column,FA_time_start,displayVisible,boolean,true
Column,FA_time_start,joins,object,""
Column,FA_type_of_certainty,displayChoicesList,object,""
Column,FA_type_of_certainty,displayFormat,string,""
Column,FA_type_of_certainty,displayName,string,"""FA_type_of_certainty"""
Column,FA_type_of_certainty,displayVisible,boolean,true
Column,FA_type_of_certainty,joins,object,""
Column,FA_type_of_cycle,displayChoicesList,object,""
Column,FA_type_of_cycle,displayFormat,string,""
Column,FA_type_of_cycle,displayName,string,"""FA_type_of_cycle"""
Column,FA_type_of_cycle,displayVisible,boolean,true
Column,FA_type_of_cycle,joins,object,""
Column,FA_type_of_nesting,displayChoicesList,object,""
Column,FA_type_of_nesting,displayFormat,string,""
Column,FA_type_of_nesting,displayName,string,"""FA_type_of_nesting"""
Column,FA_type_of_nesting,displayVisible,boolean,true
Column,FA_type_of_nesting,joins,object,""
Column,FA_within_five_meters,displayChoicesList,object,""
Column,FA_within_five_meters,displayFormat,string,""
Column,FA_within_five_meters,displayName,string,"""FA_within_five_meters"""
Column,FA_within_five_meters,displayVisible,boolean,true
Column,FA_within_five_meters,joins,object,""
Table,default,colOrder,object,"[""FA_FOL_date"",""FA_FOL_B_focal_AnimID"",""FA_B_arr_AnimID"",""FA_seq_num"",""FA_type_of_certainty"",""FA_type_of_nesting"",""FA_type_of_cycle"",""FA_time_start"",""FA_time_end"",""FA_duration_of_obs"",""FA_within_five_meters"",""FA_closest_to_focal""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Follow Arrival"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
