_partition,_aspect,_key,_type,_value
Column,FMP_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,FMP_FOL_B_focal_AnimID,displayFormat,string,""
Column,FMP_FOL_B_focal_AnimID,displayName,string,"""FMP_FOL_B_focal_AnimID"""
Column,FMP_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,FMP_FOL_B_focal_AnimID,joins,object,""
Column,FMP_FOL_date,displayChoicesList,object,""
Column,FMP_FOL_date,displayFormat,string,""
Column,FMP_FOL_date,displayName,string,"""FMP_FOL_date"""
Column,FMP_FOL_date,displayVisible,boolean,true
Column,FMP_FOL_date,joins,object,""
Column,FMP_community_id,displayChoicesList,object,""
Column,FMP_community_id,displayFormat,string,""
Column,FMP_community_id,displayName,string,"""FMP_community_id"""
Column,FMP_community_id,displayVisible,boolean,true
Column,FMP_community_id,joins,object,""
Column,FMP_meters_to_next_seq_num,displayChoicesList,object,""
Column,FMP_meters_to_next_seq_num,displayFormat,string,""
Column,FMP_meters_to_next_seq_num,displayName,string,"""FMP_meters_to_next_seq_num"""
Column,FMP_meters_to_next_seq_num,displayVisible,boolean,true
Column,FMP_meters_to_next_seq_num,joins,object,""
Column,FMP_seq_num,displayChoicesList,object,""
Column,FMP_seq_num,displayFormat,string,""
Column,FMP_seq_num,displayName,string,"""FMP_seq_num"""
Column,FMP_seq_num,displayVisible,boolean,true
Column,FMP_seq_num,joins,object,""
Column,FMP_xcoord,displayChoicesList,object,""
Column,FMP_xcoord,displayFormat,string,""
Column,FMP_xcoord,displayName,string,"""FMP_xcoord"""
Column,FMP_xcoord,displayVisible,boolean,true
Column,FMP_xcoord,joins,object,""
Column,FMP_xcoord_old,displayChoicesList,object,""
Column,FMP_xcoord_old,displayFormat,string,""
Column,FMP_xcoord_old,displayName,string,"""FMP_xcoord_old"""
Column,FMP_xcoord_old,displayVisible,boolean,true
Column,FMP_xcoord_old,joins,object,""
Column,FMP_ycoord,displayChoicesList,object,""
Column,FMP_ycoord,displayFormat,string,""
Column,FMP_ycoord,displayName,string,"""FMP_ycoord"""
Column,FMP_ycoord,displayVisible,boolean,true
Column,FMP_ycoord,joins,object,""
Column,FMP_ycoord_old,displayChoicesList,object,""
Column,FMP_ycoord_old,displayFormat,string,""
Column,FMP_ycoord_old,displayName,string,"""FMP_ycoord_old"""
Column,FMP_ycoord_old,displayVisible,boolean,true
Column,FMP_ycoord_old,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,follow_map_position
Table,default,colOrder,object,"[""FMP_FOL_date"",""FMP_FOL_B_focal_AnimID"",""FMP_seq_num"",""FMP_xcoord"",""FMP_ycoord"",""FMP_meters_to_next_seq_num"",""FMP_community_id"",""FMP_xcoord_old"",""FMP_ycoord_old""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Follow Map Position"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
