_partition,_aspect,_key,_type,_value
Column,FMT_FMP_seq_num,displayChoicesList,object,""
Column,FMT_FMP_seq_num,displayFormat,string,""
Column,FMT_FMP_seq_num,displayName,string,"""FMT_FMP_seq_num"""
Column,FMT_FMP_seq_num,displayVisible,boolean,true
Column,FMT_FMP_seq_num,joins,object,""
Column,FMT_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,FMT_FOL_B_focal_AnimID,displayFormat,string,""
Column,FMT_FOL_B_focal_AnimID,displayName,string,"""FMT_FOL_B_focal_AnimID"""
Column,FMT_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,FMT_FOL_B_focal_AnimID,joins,object,""
Column,FMT_FOL_date,displayChoicesList,object,""
Column,FMT_FOL_date,displayFormat,string,""
Column,FMT_FOL_date,displayName,string,"""FMT_FOL_date"""
Column,FMT_FOL_date,displayVisible,boolean,true
Column,FMT_FOL_date,joins,object,""
Column,FMT_FOL_foll_num,displayChoicesList,object,""
Column,FMT_FOL_foll_num,displayFormat,string,""
Column,FMT_FOL_foll_num,displayName,string,"""FMT_FOL_foll_num"""
Column,FMT_FOL_foll_num,displayVisible,boolean,true
Column,FMT_FOL_foll_num,joins,object,""
Column,FMT_fixed,displayChoicesList,object,""
Column,FMT_fixed,displayFormat,string,""
Column,FMT_fixed,displayName,string,"""FMT_fixed"""
Column,FMT_fixed,displayVisible,boolean,true
Column,FMT_fixed,joins,object,""
Column,FMT_notes,displayChoicesList,object,""
Column,FMT_notes,displayFormat,string,""
Column,FMT_notes,displayName,string,"""FMT_notes"""
Column,FMT_notes,displayVisible,boolean,true
Column,FMT_notes,joins,object,""
Column,FMT_time,displayChoicesList,object,""
Column,FMT_time,displayFormat,string,""
Column,FMT_time,displayName,string,"""FMT_time"""
Column,FMT_time,displayVisible,boolean,true
Column,FMT_time,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,follow_map_time
Table,default,colOrder,object,"[""FMT_FOL_date"",""FMT_FOL_B_focal_AnimID"",""FMT_time"",""FMT_FMP_seq_num"",""FMT_notes"",""FMT_fixed"",""FMT_FOL_foll_num""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Follow Map Time"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
