_element_key,_element_name,_element_type,_list_child_element_keys
FB_FL_local_food_name,FB_FL_local_food_name,string,[]
FB_FL_local_food_name2,FB_FL_local_food_name2,string,[]
FB_FOL_B_AnimID,FB_FOL_B_AnimID,string,[]
FB_FOL_date,FB_FOL_date,string,[]
FB_FPL_local_food_part,FB_FPL_local_food_part,string,[]
FB_FPL_local_food_part2,FB_FPL_local_food_part2,string,[]
FB_begin_feed_time,FB_begin_feed_time,string,[]
FB_duration,FB_duration,integer,[]
FB_end_feed_time,FB_end_feed_time,string,[]
FB_local_food_name_written,FB_local_food_name_written,string,[]
FB_local_food_part_written,FB_local_food_part_written,string,[]
