_partition,_aspect,_key,_type,_value
Column,FB_FL_local_food_name,displayChoicesList,object,""
Column,FB_FL_local_food_name,displayFormat,string,""
Column,FB_FL_local_food_name,displayName,string,"""FB_FL_local_food_name"""
Column,FB_FL_local_food_name,displayVisible,boolean,true
Column,FB_FL_local_food_name,joins,object,""
Column,FB_FL_local_food_name2,displayChoicesList,object,""
Column,FB_FL_local_food_name2,displayFormat,string,""
Column,FB_FL_local_food_name2,displayName,string,"""FB_FL_local_food_name2"""
Column,FB_FL_local_food_name2,displayVisible,boolean,true
Column,FB_FL_local_food_name2,joins,object,""
Column,FB_FOL_B_AnimID,displayChoicesList,object,""
Column,FB_FOL_B_AnimID,displayFormat,string,""
Column,FB_FOL_B_AnimID,displayName,string,"""FB_FOL_B_AnimID"""
Column,FB_FOL_B_AnimID,displayVisible,boolean,true
Column,FB_FOL_B_AnimID,joins,object,""
Column,FB_FOL_date,displayChoicesList,object,""
Column,FB_FOL_date,displayFormat,string,""
Column,FB_FOL_date,displayName,string,"""FB_FOL_date"""
Column,FB_FOL_date,displayVisible,boolean,true
Column,FB_FOL_date,joins,object,""
Column,FB_FPL_local_food_part,displayChoicesList,object,""
Column,FB_FPL_local_food_part,displayFormat,string,""
Column,FB_FPL_local_food_part,displayName,string,"""FB_FPL_local_food_part"""
Column,FB_FPL_local_food_part,displayVisible,boolean,true
Column,FB_FPL_local_food_part,joins,object,""
Column,FB_FPL_local_food_part2,displayChoicesList,object,""
Column,FB_FPL_local_food_part2,displayFormat,string,""
Column,FB_FPL_local_food_part2,displayName,string,"""FB_FPL_local_food_part2"""
Column,FB_FPL_local_food_part2,displayVisible,boolean,true
Column,FB_FPL_local_food_part2,joins,object,""
Column,FB_begin_feed_time,displayChoicesList,object,""
Column,FB_begin_feed_time,displayFormat,string,""
Column,FB_begin_feed_time,displayName,string,"""FB_begin_feed_time"""
Column,FB_begin_feed_time,displayVisible,boolean,true
Column,FB_begin_feed_time,joins,object,""
Column,FB_duration,displayChoicesList,object,""
Column,FB_duration,displayFormat,string,""
Column,FB_duration,displayName,string,"""FB_duration"""
Column,FB_duration,displayVisible,boolean,true
Column,FB_duration,joins,object,""
Column,FB_end_feed_time,displayChoicesList,object,""
Column,FB_end_feed_time,displayFormat,string,""
Column,FB_end_feed_time,displayName,string,"""FB_end_feed_time"""
Column,FB_end_feed_time,displayVisible,boolean,true
Column,FB_end_feed_time,joins,object,""
Column,FB_local_food_name_written,displayChoicesList,object,""
Column,FB_local_food_name_written,displayFormat,string,""
Column,FB_local_food_name_written,displayName,string,"""FB_local_food_name_written"""
Column,FB_local_food_name_written,displayVisible,boolean,true
Column,FB_local_food_name_written,joins,object,""
Column,FB_local_food_part_written,displayChoicesList,object,""
Column,FB_local_food_part_written,displayFormat,string,""
Column,FB_local_food_part_written,displayName,string,"""FB_local_food_part_written"""
Column,FB_local_food_part_written,displayVisible,boolean,true
Column,FB_local_food_part_written,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,food_bout
Table,default,colOrder,object,"[""FB_FOL_date"",""FB_FOL_B_AnimID"",""FB_begin_feed_time"",""FB_end_feed_time"",""FB_duration"",""FB_FPL_local_food_part"",""FB_FL_local_food_name"",""FB_FPL_local_food_part2"",""FB_FL_local_food_name2"",""FB_local_food_part_written"",""FB_local_food_name_written""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Food Bout"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
