_element_key,_element_name,_element_type,_list_child_element_keys
groupModify,groupModify,string,[]
groupPrivileged,groupPrivileged,string,[]
groupReadOnly,groupReadOnly,string,[]
levelNumber,levelNumber,integer,[]
location,location,geopoint,"[""location_accuracy"",""location_altitude"",""location_latitude"",""location_longitude""]"
location_accuracy,accuracy,number,[]
location_altitude,altitude,number,[]
location_latitude,latitude,number,[]
location_longitude,longitude,number,[]
regionLevel1,regionLevel1,string,[]
regionLevel2,regionLevel2,string,[]
regionLevel3,regionLevel3,string,[]
regionLevel4,regionLevel4,string,[]
regionLevel5,regionLevel5,string,[]
regionName,regionName,string,[]
