_partition,_aspect,_key,_type,_value
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,geotagger
Table,default,colOrder,array,"[""Description"",""Image_uriFragment"",""Location_latitude"",""Location_longitude"",""Date_and_Time""]"
Table,default,defaultViewType,string,MAP
Table,default,detailViewFileName,configpath,config/tables/geotagger/html/geo_detail.html
Table,default,displayName,object,"""Geotagger"""
Table,default,listViewFileName,configpath,config/tables/geotagger/html/geo_list.html
Table,default,mapListViewFileName,configpath,config/tables/geotagger/html/geo_list.html
TableMapFragment,default,keyColorRuleType,string,None
TableMapFragment,default,keyMapLatCol,string,Location_latitude
TableMapFragment,default,keyMapLongCol,string,Location_longitude
