_element_key,_element_name,_element_type,_list_child_element_keys
QFC_item_1,QFC_item_1,number,[]
QFC_item_2,QFC_item_2,number,[]
QFC_item_3,QFC_item_3,number,[]
QFC_item_4,QFC_item_4,number,[]
QFC_item_5,QFC_item_5,number,[]
QFC_item_6,QFC_item_6,number,[]
QFC_sum,QFC_sum,number,[]
Safeway_item_1,Safeway_item_1,number,[]
Safeway_item_2,Safeway_item_2,number,[]
Safeway_item_3,Safeway_item_3,number,[]
Safeway_item_4,Safeway_item_4,number,[]
Safeway_item_5,Safeway_item_5,number,[]
Safeway_item_6,Safeway_item_6,number,[]
Safeway_sum,Safeway_sum,number,[]
Target_item_1,Target_item_1,number,[]
Target_item_2,Target_item_2,number,[]
Target_item_3,Target_item_3,number,[]
Target_item_4,Target_item_4,number,[]
Target_item_5,Target_item_5,number,[]
Target_item_6,Target_item_6,number,[]
Target_sum,Target_sum,number,[]
item_1,item_1,string,[]
item_2,item_2,string,[]
item_3,item_3,string,[]
item_4,item_4,string,[]
item_5,item_5,string,[]
item_6,item_6,string,[]
item_7,item_7,string,[]
selected_store,selected_store,array,"[""selected_store_items""]"
selected_store_items,items,string,[]
