_partition,_aspect,_key,_type,_value
Column,QFC_item_1,displayChoicesList,object,[]
Column,QFC_item_1,displayFormat,string,""
Column,QFC_item_1,displayName,string,"""QFC_item_1"""
Column,QFC_item_1,displayVisible,boolean,TRUE
Column,QFC_item_1,joins,object,""
Column,QFC_item_2,displayChoicesList,object,[]
Column,QFC_item_2,displayFormat,string,""
Column,QFC_item_2,displayName,string,"""QFC_item_2"""
Column,QFC_item_2,displayVisible,boolean,TRUE
Column,QFC_item_2,joins,object,""
Column,QFC_item_3,displayChoicesList,object,[]
Column,QFC_item_3,displayFormat,string,""
Column,QFC_item_3,displayName,string,"""QFC_item_3"""
Column,QFC_item_3,displayVisible,boolean,TRUE
Column,QFC_item_3,joins,object,""
Column,QFC_item_4,displayChoicesList,object,[]
Column,QFC_item_4,displayFormat,string,""
Column,QFC_item_4,displayName,string,"""QFC_item_4"""
Column,QFC_item_4,displayVisible,boolean,TRUE
Column,QFC_item_4,joins,object,""
Column,QFC_item_5,displayChoicesList,object,[]
Column,QFC_item_5,displayFormat,string,""
Column,QFC_item_5,displayName,string,"""QFC_item_5"""
Column,QFC_item_5,displayVisible,boolean,TRUE
Column,QFC_item_5,joins,object,""
Column,QFC_item_6,displayChoicesList,object,[]
Column,QFC_item_6,displayFormat,string,""
Column,QFC_item_6,displayName,string,"""QFC_item_6"""
Column,QFC_item_6,displayVisible,boolean,TRUE
Column,QFC_item_6,joins,object,""
Column,QFC_sum,displayChoicesList,object,[]
Column,QFC_sum,displayFormat,string,""
Column,QFC_sum,displayName,string,"""QFC_item_7"""
Column,QFC_sum,displayVisible,boolean,TRUE
Column,QFC_sum,joins,object,""
Column,Safeway_item_1,displayChoicesList,object,[]
Column,Safeway_item_1,displayFormat,string,""
Column,Safeway_item_1,displayName,string,"""Safeway_item_1"""
Column,Safeway_item_1,displayVisible,boolean,TRUE
Column,Safeway_item_1,joins,object,""
Column,Safeway_item_2,displayChoicesList,object,[]
Column,Safeway_item_2,displayFormat,string,""
Column,Safeway_item_2,displayName,string,"""Safeway_item_2"""
Column,Safeway_item_2,displayVisible,boolean,TRUE
Column,Safeway_item_2,joins,object,""
Column,Safeway_item_3,displayChoicesList,object,[]
Column,Safeway_item_3,displayFormat,string,""
Column,Safeway_item_3,displayName,string,"""Safeway_item_3"""
Column,Safeway_item_3,displayVisible,boolean,TRUE
Column,Safeway_item_3,joins,object,""
Column,Safeway_item_4,displayChoicesList,object,[]
Column,Safeway_item_4,displayFormat,string,""
Column,Safeway_item_4,displayName,string,"""Safeway_item_4"""
Column,Safeway_item_4,displayVisible,boolean,TRUE
Column,Safeway_item_4,joins,object,""
Column,Safeway_item_5,displayChoicesList,object,[]
Column,Safeway_item_5,displayFormat,string,""
Column,Safeway_item_5,displayName,string,"""Safeway_item_5"""
Column,Safeway_item_5,displayVisible,boolean,TRUE
