_partition,_aspect,_key,_type,_value
Column,GRM_B_partner_AnimID,displayChoicesList,object,""
Column,GRM_B_partner_AnimID,displayFormat,string,""
Column,GRM_B_partner_AnimID,displayName,string,"""GRM_B_partner_AnimID"""
Column,GRM_B_partner_AnimID,displayVisible,boolean,true
Column,GRM_B_partner_AnimID,joins,object,""
Column,GRM_FOL_B_focal_AnimID,displayChoicesList,object,""
Column,GRM_FOL_B_focal_AnimID,displayFormat,string,""
Column,GRM_FOL_B_focal_AnimID,displayName,string,"""GRM_FOL_B_focal_AnimID"""
Column,GRM_FOL_B_focal_AnimID,displayVisible,boolean,true
Column,GRM_FOL_B_focal_AnimID,joins,object,""
Column,GRM_FOL_date,displayChoicesList,object,""
Column,GRM_FOL_date,displayFormat,string,""
Column,GRM_FOL_date,displayName,string,"""GRM_FOL_date"""
Column,GRM_FOL_date,displayVisible,boolean,true
Column,GRM_FOL_date,joins,object,""
Column,GRM_direction,displayChoicesList,object,""
Column,GRM_direction,displayFormat,string,""
Column,GRM_direction,displayName,string,"""GRM_direction"""
Column,GRM_direction,displayVisible,boolean,true
Column,GRM_direction,joins,object,""
Column,GRM_dur,displayChoicesList,object,""
Column,GRM_dur,displayFormat,string,""
Column,GRM_dur,displayName,string,"""GRM_dur"""
Column,GRM_dur,displayVisible,boolean,true
Column,GRM_dur,joins,object,""
Column,GRM_other_partners,displayChoicesList,object,""
Column,GRM_other_partners,displayFormat,string,""
Column,GRM_other_partners,displayName,string,"""GRM_other_partners"""
Column,GRM_other_partners,displayVisible,boolean,true
Column,GRM_other_partners,joins,object,""
Column,GRM_time_begin,displayChoicesList,object,""
Column,GRM_time_begin,displayFormat,string,""
Column,GRM_time_begin,displayName,string,"""GRM_time_begin"""
Column,GRM_time_begin,displayVisible,boolean,true
Column,GRM_time_begin,joins,object,""
Column,GRM_time_certainty,displayChoicesList,object,""
Column,GRM_time_certainty,displayFormat,string,""
Column,GRM_time_certainty,displayName,string,"""GRM_time_certainty"""
Column,GRM_time_certainty,displayVisible,boolean,true
Column,GRM_time_certainty,joins,object,""
Column,GRM_time_end,displayChoicesList,object,""
Column,GRM_time_end,displayFormat,string,""
Column,GRM_time_end,displayName,string,"""GRM_time_end"""
Column,GRM_time_end,displayVisible,boolean,true
Column,GRM_time_end,joins,object,""
FormType,default,FormType.formType,string,SURVEY
SurveyUtil,default,SurveyUtil.formId,string,groom_bout
Table,default,colOrder,object,"[""GRM_FOL_date"",""GRM_FOL_B_focal_AnimID"",""GRM_time_begin"",""GRM_B_partner_AnimID"",""GRM_time_end"",""GRM_dur"",""GRM_direction"",""GRM_time_certainty"",""GRM_other_partners""]"
Table,default,defaultViewType,string,SPREADSHEET
Table,default,displayName,object,"""Groom Bout"""
Table,default,groupByCols,object,[]
Table,default,indexCol,string,""
Table,default,sortCol,string,""
Table,default,sortOrder,string,""
TableColorRuleGroup,default,StatusColumn.ruleList,object,"[{""mValue"":""synced"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""syncStateSynced"",""mForeground"":-16777216,""mBackground"":-1},{""mValue"":""new_row"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateNewRow"",""mForeground"":-16777216,""mBackground"":-16711936},{""mValue"":""changed"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateChanged"",""mForeground"":-16777216,""mBackground"":-935891},{""mValue"":""in_conflict"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateInConflict"",""mForeground"":-16777216,""mBackground"":-65536},{""mValue"":""deleted"",""mElementKey"":""_sync_state"",""mOperator"":""EQUAL"",""mId"":""defaultRule_syncStateDeleted"",""mForeground"":-16777216,""mBackground"":-12303292}]"
