_partition,_aspect,_key,_type,_value
Column,Location,displayName,object,"{""text"":{""default"":""Location"",""es"":""Ubicación"",""fr"":""Localisation""}}"
Column,admin_region_id,displayName,object,"{""text"":{""default"":""Admin Region"",""es"":""Region administrativo"",""fr"":""Région administrative""}}"
Column,catchment_population,displayName,object,"{""text"":{""default"":""Catchment Population"",""es"":""Captación de facilidad"",""fr"":""Population desservie""}}"
Column,contact_name,displayName,object,"{""text"":{""default"":""Contact Name"",""es"":""Nombre del contacto"",""fr"":""Nom de la personne à contacter""}}"
Column,contact_phone_number,displayName,object,"{""text"":{""default"":""Contact Phone Number"",""es"":""Teléfono de contacto"",""fr"":""Numéro de téléphone de la personne à contacter""}}"
Column,contact_title,displayName,object,"{""text"":{""default"":""Contact Title"",""es"":""Título del contacto"",""fr"":""Titre de la personne à contacter""}}"
Column,distance_to_supply,displayName,object,"{""text"":{""default"":""Distance to the Closest Supply Point"",""es"":""Distancia al más proximo punto de reabastecimiento"",""fr"":""Distance par rapport au lieu d'approvisionnement le plus proche""}}"
Column,electricity_source,displayChoicesList,object,"[{""choice_list_name"":""elec_sources"",""data_value"":""grid"",""display"":{""title"":{""text"":{""default"":""Grid"",""es"":""Red"",""fr"":""Électricité""}}},""_row_num"":40},{""choice_list_name"":""elec_sources"",""data_value"":""solar"",""display"":{""title"":{""text"":{""default"":""Solar"",""es"":""Solar"",""fr"":""Énergie solaire""}}},""_row_num"":41},{""choice_list_name"":""elec_sources"",""data_value"":""generator"",""display"":{""title"":{""text"":{""default"":""Generator"",""es"":""Generador"",""fr"":""Groupe électrogène""}}},""_row_num"":42},{""choice_list_name"":""elec_sources"",""data_value"":""both_grid_and_generator"",""display"":{""title"":{""text"":{""default"":""Both Grid and Generator"",""es"":""Red y generador"",""fr"":""Électricité et groupe électrogène""}}},""_row_num"":43},{""choice_list_name"":""elec_sources"",""data_value"":""both_grid_and_solar"",""display"":{""title"":{""text"":{""default"":""Both Grid and Solar"",""es"":""Red y solar"",""fr"":""Électricité et énergie solaire""}}},""_row_num"":44},{""choice_list_name"":""elec_sources"",""data_value"":""both_solar_and_generator"",""display"":{""title"":{""text"":{""default"":""Both Generator and Solar"",""es"":""Generador y solar"",""fr"":""Groupe électrogène et énergie solaire""}}},""_row_num"":45},{""choice_list_name"":""elec_sources"",""data_value"":""all"",""display"":{""title"":{""text"":{""default"":""All"",""es"":""Todos""}}},""_row_num"":46},{""choice_list_name"":""elec_sources"",""data_value"":""none"",""display"":{""title"":{""text"":{""default"":""None"",""es"":""Nada"",""fr"":""Aucune source d'énergie""}}},""_row_num"":47}]"
Column,electricity_source,displayName,object,"{""text"":{""default"":""Electricity Source"",""es"":""Fuente de energía"",""fr"":""Source d'électricité""}}"
Column,facility_id,displayName,object,"{""text"":{""default"":""Facility ID"",""es"":""ID de Facilidad"",""fr"":""ID de l'établissement""}}"
